"questId","keyNum","treasureNum","trapNum","enemyNum",
"371","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"371","1","7","300|310","3:1|8:2|7:2|1:1|","64|80","2|2",
"371","2","5","600|610","3:1|8:2|7:2|1:1|","64|80","2|3",
"371","3","5","825|835","3:1|8:2|7:2|1:1|","70|82|97","3|3",
"371","4","2","1100|1200","3:1|8:2|7:2|1:1|","70|99|97","3|4",
"371","5","2","1400|1500","3:1|8:2|7:2|1:1|","101|125|131","3|4",
"371","6","2","1700|1800","3:1|8:2|7:2|1:1|","125|131|84","4|4",
"371","!","2","3450|3550","3:1|8:2|7:2|1:1|","202|91|91|196","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"372","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"372","1","7","300|310","3:1|8:2|7:2|1:1|","64|80","2|2",
"372","2","5","600|610","3:1|8:2|7:2|1:1|","64|80","2|3",
"372","3","5","825|835","3:1|8:2|7:2|1:1|","70|82|97","3|3",
"372","4","2","1100|1200","3:1|8:2|7:2|1:1|","70|99|97","3|4",
"372","5","2","1400|1500","3:1|8:2|7:2|1:1|","101|125|131","3|4",
"372","6","2","1700|1800","3:1|8:2|7:2|1:1|","125|131|84","4|4",
"372","!","2","3450|3550","3:1|8:2|7:2|1:1|","202|91|91|196","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"373","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"373","1","7","300|310","3:1|8:2|7:2|1:1|","64|80","2|2",
"373","2","5","600|610","3:1|8:2|7:2|1:1|","64|80","2|3",
"373","3","5","975|985","3:1|8:2|7:2|1:1|","70|82|97","3|3",
"373","4","2","1300|1400","3:1|8:2|7:2|1:1|","70|99|97","3|4",
"373","5","2","1600|1700","3:1|8:2|7:2|1:1|","101|125|131","3|4",
"373","6","2","1900|2000","3:1|8:2|7:2|1:1|","125|131|84","4|4",
"373","!","2","3750|3850","3:1|8:2|7:2|1:1|","202|91|91|196","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"374","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"374","1","7","300|310","3:1|8:2|7:2|1:1|","64|80","2|2",
"374","2","5","600|610","3:1|8:2|7:2|1:1|","64|80","2|3",
"374","3","5","975|985","3:1|8:2|7:2|1:1|","70|82|97","3|3",
"374","4","2","1300|1400","3:1|8:2|7:2|1:1|","70|99|97","3|4",
"374","5","2","1600|1700","3:1|8:2|7:2|1:1|","101|125|131","3|4",
"374","6","2","1900|2000","3:1|8:2|7:2|1:1|","125|131|84","4|4",
"374","!","2","3750|3850","3:1|8:2|7:2|1:1|","202|91|91|196","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"375","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"375","1","7","300|310","3:1|8:2|7:2|1:1|","64|80","2|2",
"375","2","5","600|610","3:1|8:2|7:2|1:1|","64|80","2|3",
"375","3","5","975|985","3:1|8:2|7:2|1:1|","70|82|97","3|3",
"375","4","2","1300|1400","3:1|8:2|7:2|1:1|","70|99|97","3|4",
"375","5","2","1600|1700","3:1|8:2|7:2|1:1|","101|125|131","3|4",
"375","6","2","1900|2000","3:1|8:2|7:2|1:1|","125|131|84","4|4",
"375","!","2","3750|3850","3:1|8:2|7:2|1:1|","202|91|91|196","0|0",

