"questId","stamina","coin","exp","floor",
"311","7","18,096","215","2",
"312","7","18,096","215","2",
"313","7","21,458","243","2",
"314","7","19,480","243","2",
"315","7","19,102","243","2",

"questId","stamina","coin","exp","floor",
"321","7","18,096","182","2",
"322","7","18,096","225","2",
"323","7","19,480","426","2",
"324","7","20,694","262","2",
"325","7","19,102","243","2",

"questId","stamina","coin","exp","floor",
"331","7","18,096","220","2",
"332","7","18,096","225","2",
"333","7","19,706","426","2",
"334","7","20,294","262","2",
"335","7","19,102","260","2",

"questId","stamina","coin","exp","floor",
"341","7","19,706","238","2",
"342","7","19,706","180","2",
"343","7","20,668","396","2",
"344","7","21,458","323","2",
"345","7","20,678","325","2",

"questId","stamina","coin","exp","floor",
"351","7","19,750","238","2",
"352","7","21,064","215","2",
"353","7","23,292","426","2",
"354","7","23,292","313","2",
"355","7","22,138","315","2",

"questId","stamina","coin","exp","floor",
"361","7","25,762","238","2",
"362","7","28,408","180","2",
"363","7","28,408","396","2",
"364","7","28,408","323","2",
"365","7","39,542","325","2",

"questId","stamina","coin","exp","floor",
"371","9","25,762","312","2",
"372","9","28,408","320","2",
"373","9","28,408","413","2",
"374","9","28,408","383","2",
"375","11","39,542","486","2",

