"questId","keyNum","treasureNum","trapNum","enemyNum",
"311","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"311","1","7","225|235","3:1|","61|74","1|2",
"311","2","5","375|385","3:1|","61|74","2|2",
"311","3","5","600|610","3:1|","61|74|97","2|3",
"311","4","2","825|835","3:1|","61|74|97","3|3",
"311","5","2","975|985","3:1|","97|121|157","2|2",
"311","6","2","1200|1300","3:1|","97|85|169|169","3|4",
"311","!","2","2400|2500","3:1|","85|85|187","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"312","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"312","1","7","225|235","3:1|","61|74","1|2",
"312","2","5","375|385","3:1|","61|74","2|2",
"312","3","5","600|610","3:1|","61|74|97","2|3",
"312","4","2","825|835","3:1|","61|74|97","3|3",
"312","5","2","975|985","3:1|","97|121|157","2|2",
"312","6","2","1200|1300","3:1|","97|85|169|169","3|4",
"312","!","2","2400|2500","3:1|","85|85|187","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"313","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"313","1","7","225|235","3:1|","61|74","1|2",
"313","2","5","375|385","3:1|","61|74","2|2",
"313","3","5","600|610","3:1|","61|74|97","2|3",
"313","4","2","825|835","3:1|","61|74|97","3|3",
"313","5","2","975|985","3:1|","97|121|157","2|2",
"313","6","2","1200|1300","3:1|","97|85|169|169","3|4",
"313","!","2","2400|2500","3:1|","85|85|187","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"314","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"314","1","7","225|235","3:1|","61|74","1|2",
"314","2","5","375|385","3:1|","61|74","2|2",
"314","3","5","600|610","3:1|","61|74|97","2|3",
"314","4","2","825|835","3:1|","61|74|97","3|3",
"314","5","2","975|985","3:1|","97|121|157","2|2",
"314","6","2","1200|1300","3:1|","97|85|169|169","3|4",
"314","!","2","2400|2500","3:1|","85|85|187","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"315","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"315","1","7","225|235","3:1|","61|74","1|2",
"315","2","5","450|460","3:1|","61|74","2|2",
"315","3","5","750|760","3:1|","61|74|97","2|3",
"315","4","2","975|985","3:1|","61|74|97","3|3",
"315","5","2","1200|1300","3:1|","97|121|157","2|2",
"315","6","2","1400|1500","3:1|","97|85|169|169","3|4",
"315","!","2","2850|2950","3:1|","85|85|187","0|0",

