"questId","keyNum","treasureNum","trapNum","enemyNum",
"341","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"341","1","7","225|235","8:2|","68|80","2|2",
"341","2","5","450|460","8:2|","68|80","2|3",
"341","3","5","675|685","8:2|","68|80|103","3|3",
"341","4","2","825|835","8:2|","68|80|103","3|4",
"341","5","2","1100|1200","8:2|","103|127|160","4|4",
"341","6","2","1300|1400","8:2|","103|91|172|172","2|2",
"341","!","2","2550|2650","8:2|","91|91|196","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"342","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"342","1","7","225|235","8:2|","68|80","2|2",
"342","2","5","450|460","8:2|","68|80","2|3",
"342","3","5","675|685","8:2|","68|80|103","3|3",
"342","4","2","825|835","8:2|","68|80|103","3|4",
"342","5","2","1100|1200","8:2|","103|127|160","4|4",
"342","6","2","1300|1400","8:2|","103|91|172|172","2|2",
"342","!","2","2550|2650","8:2|","91|91|196","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"343","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"343","1","7","225|235","8:2|","68|80","2|2",
"343","2","5","450|460","8:2|","68|80","2|3",
"343","3","5","675|685","8:2|","68|80|103","3|3",
"343","4","2","825|835","8:2|","68|80|103","3|4",
"343","5","2","1100|1200","8:2|","103|127|160","4|4",
"343","6","2","1300|1400","8:2|","103|91|172|172","2|2",
"343","!","2","2550|2650","8:2|","91|91|196","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"344","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"344","1","7","225|235","8:2|","68|80","2|2",
"344","2","5","450|460","8:2|","68|80","2|3",
"344","3","5","675|685","8:2|","68|80|103","3|3",
"344","4","2","825|835","8:2|","68|80|103","3|4",
"344","5","2","1100|1200","8:2|","103|127|160","4|4",
"344","6","2","1300|1400","8:2|","103|91|172|172","2|2",
"344","!","2","2550|2650","8:2|","91|91|196","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"345","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"345","1","7","225|235","8:2|","68|80","2|2",
"345","2","5","525|535","8:2|","68|80","2|3",
"345","3","5","675|685","8:2|","68|80|103","3|3",
"345","4","2","900|910","8:2|","68|80|103","3|4",
"345","5","2","1100|1200","8:2|","103|127|160","4|4",
"345","6","2","1350|1450","8:2|","103|91|172|172","2|2",
"345","!","2","2700|2800","8:2|","91|91|196","0|0",

