"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"31","1","97","348","3","1472","40","97","4","7.5",
"31","2","74","258","3","1992","21","73","3","15",
"31","3","85","491","4","3887","0","85","3","20",
"31","4","61","184","2","1153","21","61","3","15",
"31","5","121","491","3","2513","21","121","1","2.5",
"31","6","169","834","5","10","5000","169","1","20",
"31","7","157","286","3","857","0","157","1","20",
"31","8","187","10","1","3","2000","187","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"32","1","99","383","3","1590","40","99","4","7.5",
"32","2","76","277","3","2085","21","75","3","15",
"32","3","87","508","4","4181","0","87","3","20",
"32","4","64","195","2","1173","21","63","3","15",
"32","5","123","491","3","2513","3","123","1","2.5",
"32","6","170","834","5","10","5000","170","1","20",
"32","7","158","286","3","857","0","158","1","20",
"32","8","190","10","1","3","2000","190","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"33","1","101","418","3","1708","40","101","4","7.5",
"33","2","78","320","3","2178","21","77","3","15",
"33","3","89","726","4","4476","0","89","3","20",
"33","4","65","399","2","1191","21","65","3","15",
"33","5","125","566","3","2513","3","125","1","2.5",
"33","6","171","834","5","10","5000","171","1","20",
"33","7","159","286","3","857","0","159","1","20",
"33","8","193","10","1","3","2000","193","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"34","1","103","525","3","1879","40","103","4","7.5",
"34","2","80","398","3","2069","21","79","3","15",
"34","3","91","828","4","5107","0","91","3","20",
"34","4","68","410","2","1224","21","67","3","15",
"34","5","127","551","3","2513","3","127","1","2.5",
"34","6","172","834","5","10","5000","172","1","20",
"34","7","160","286","3","857","0","160","1","20",
"34","8","196","10","1","3","2000","196","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"35","1","105","675","3","2225","40","105","4","7.5",
"35","2","82","408","3","1974","21","81","3","15",
"35","3","93","864","4","5329","0","93","3","20",
"35","4","70","432","2","1291","21","69","3","15",
"35","5","129","566","3","2513","3","129","1","2.5",
"35","6","173","834","5","10","5000","173","1","20",
"35","7","161","286","3","857","0","161","1","20",
"35","8","199","10","1","3","2000","199","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"36","1","107","675","3","1873","40","107","4","7.5",
"36","2","84","417","3","3120","21","83","3","15",
"36","3","95","784","4","5323","0","95","3","20",
"36","4","72","412","2","1787","21","71","3","15",
"36","5","131","491","3","2145","3","131","1","0.25",
"36","6","174","834","5","10","5000","174","1","20",
"36","7","162","286","3","857","0","162","1","20",
"36","8","202","10","1","3","2000","202","1","20",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"37","1","97","448","3","1472","40","97","5","7.5",
"37","2","99","483","3","1590","40","99","5","7.5",
"37","3","101","518","3","1708","40","101","5","7.5",
"37","4","80","570","3","2178","21","79","4","15",
"37","5","82","544","3","2178","21","81","4","15",
"37","6","84","643","3","3120","21","83","4","15",
"37","7","91","828","4","4476","0","91","4","20",
"37","8","64","387","2","1173","21","63","4","15",
"37","9","70","432","2","1191","21","69","4","15",
"37","10","125","566","3","2513","3","125","2","2.5",
"37","11","131","566","3","2513","3","131","2","0.25",
"37","12","196","10","1","3","2000","196","1","20",
"37","13","202","10","1","3","2000","202","1","20",

