"questId","keyNum","treasureNum","trapNum","enemyNum",
"10211","1","10","0","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10211","1","4","150|160","","55|57|59","2|3",
"10211","2","4","300|310","","55|57|59|67|69|71","3|4",
"10211","3","4","500|510","","67|69|71|79|81|83","3|5",
"10211","4","4","650|660","","79|81|83|103|105|107","2|3",
"10211","5","4","800|810","","103|105|107|91|93|95","2|4",
"10211","6","4","950|960","","103|105|107|91|93|95","3|4",
"10211","!","1","1900|2000","","91|93|95","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10212","2","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10212","1","4","300|310","","55|57|59","2|3",
"10212","2","6","500|510","","55|57|59|67|69|71","3|4",
"10212","3","5","1500|1600","","67|69|71|79|81|83","3|5",
"10212","4","4","3000|3100","","79|81|83|103|105|107|172","2|3",
"10212","5","3","4500|4600","","103|105|107|91|93|95|173","2|4",
"10212","6","2","5200|5300","","103|105|107|91|93|95|174","3|4",
"10212","!","1","11000|13000","","91|93|95","4|4",

