"questId","keyNum","treasureNum","trapNum","enemyNum",
"10221","1","10","0","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10221","1","4","150|160","","49|51|53","2|3",
"10221","2","4","300|310","","49|51|53|61|63|65","3|4",
"10221","3","4","500|510","","61|63|65|73|75|77","3|5",
"10221","4","4","650|660","","73|75|77|97|99|101","2|3",
"10221","5","4","800|810","","97|99|101|85|87|89","2|4",
"10221","6","4","950|960","","97|99|101|85|87|89","3|4",
"10221","!","1","1900|2000","","85|87|89","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10222","2","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10222","1","4","300|310","","49|51|53","2|3",
"10222","2","6","500|510","","49|51|53|61|63|65","3|4",
"10222","3","5","1500|1600","","61|63|65|73|75|77","3|5",
"10222","4","4","3000|3100","","73|75|77|97|99|101|169","2|3",
"10222","5","3","4500|4600","","97|99|101|85|87|89|170","2|4",
"10222","6","2","5200|5300","","97|99|101|85|87|89|171","3|4",
"10222","!","1","11000|13000","","85|87|89","4|4",

