"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"111","1","63","30","3","230","2","63","1","35",
"111","2","65","15","3","280","2","65","1","35",
"112","1","75","12","3","350","2","75","1","15",
"112","2","77","14","3","400","2","77","1","15",
"113","1","90","62","3","1200","9","89","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"121","1","50","49","2","739","5","49","1","50",
"122","1","86","57","3","1150","18","85","1","10",
"123","1","26","80","3","1425","10","25","1","0.1",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"131","1","52","51","2","950","5","51","1","50",
"132","1","88","70","3","1257","18","87","1","10",
"133","1","30","72","3","1689","10","29","1","0.1",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"141","1","54","55","2","1162","5","53","1","50",
"142","1","90","81","3","1362","18","89","1","10",
"143","1","34","90","4","2217","10","33","1","0.1",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"151","1","56","101","2","1580","8","55","1","50",
"152","1","92","138","3","1500","27","91","1","10",
"153","1","38","128","2","2380","15","37","1","0.1",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"161","1","58","98","2","2883","8","57","1","50",
"162","1","94","120","3","2587","27","93","1","10",
"163","1","42","158","2","3443","15","41","1","0.1",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"171","1","60","105","2","2933","10","59","1","50",
"172","1","96","128","3","2587","27","95","1","10",
"173","1","46","190","3","4890","40","45","1","0.1",

