"questId","keyNum","treasureNum","trapNum","enemyNum",
"161","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"161","1","7","20|45","","57","1|2",
"161","2","5","60|90","","57","1|3",
"161","3","5","120|130","","57|69","2|3",
"161","4","2","140|150","","57|69","2|4",
"161","5","2","190|200","","69|81","3|4",
"161","6","2","260|270","","69|81","3|4",
"161","!","2","540|550","","69|81|199","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"162","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"162","1","7","20|45","","57","1|2",
"162","2","5","60|90","","57","1|3",
"162","3","5","120|130","","57|69","2|3",
"162","4","2","140|150","","57|69","2|4",
"162","5","2","190|200","","69|81","3|4",
"162","6","2","260|270","","69|81","3|4",
"162","!","2","540|550","","69|81|199","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"163","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"163","1","7","35|60","","57","1|2",
"163","2","5","90|100","","57","1|3",
"163","3","5","120|130","","57|69","2|3",
"163","4","2","200|210","","57|69","2|4",
"163","5","2","260|270","","69|81","3|4",
"163","6","2","350|360","","69|81","3|4",
"163","!","2","720|730","","69|81|199","0|0",

