"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"11","1","49","6","3","18","1","49","1","50",
"11","2","51","6","3","20","1","51","1","50",
"11","3","53","7","3","23","1","53","1","50",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"12","1","49","23","3","74","2","49","1","50",
"12","2","61","42","2","85","3","61","1","35",
"12","3","73","43","3","137","3","73","1","15",
"12","4","187","10","1","3","2000","187","1","30",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"13","1","51","26","3","84","2","51","1","50",
"13","2","63","45","2","94","3","63","1","35",
"13","3","75","48","3","160","3","75","1","15",
"13","4","190","10","1","3","2000","190","1","30",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"14","1","53","50","3","94","2","53","1","50",
"14","2","65","49","2","107","3","65","1","35",
"14","3","77","56","3","190","3","77","1","15",
"14","4","193","10","1","3","2000","193","1","30",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"15","1","55","45","3","204","3","55","1","50",
"15","2","67","48","2","204","5","67","1","35",
"15","3","79","53","3","280","2","79","1","15",
"15","4","196","10","1","3","2000","196","1","30",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"16","1","57","42","3","223","3","57","1","50",
"16","2","69","48","2","223","5","69","1","35",
"16","3","81","60","3","335","2","81","1","15",
"16","4","199","10","1","3","2000","199","1","30",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"17","1","59","43","3","187","4","59","1","50",
"17","2","71","52","2","347","6","71","1","35",
"17","3","83","69","3","480","6","83","1","15",
"17","4","202","10","1","3","2000","202","1","30",

