"questId","keyNum","treasureNum","trapNum","enemyNum",
"171","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"171","1","7","25|50","","59","1|2",
"171","2","5","70|80","","59","1|3",
"171","3","5","130|140","","59|71","2|3",
"171","4","2","150|160","","59|71","2|4",
"171","5","2","200|210","","71|83","3|4",
"171","6","2","250|260","","71|83","3|4",
"171","!","2","600|610","","71|83|202|83","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"172","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"172","1","7","25|50","","59","1|2",
"172","2","5","70|80","","59","1|3",
"172","3","5","130|140","","59|71","2|3",
"172","4","2","150|160","","59|71","2|4",
"172","5","2","200|210","","71|83","3|4",
"172","6","2","250|260","","71|83","3|4",
"172","!","2","600|610","","71|83|202|83","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"173","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"173","1","7","30|55","","59","1|2",
"173","2","5","100|110","","59","1|3",
"173","3","5","150|160","","59|71","2|3",
"173","4","2","240|250","","59|71","2|4",
"173","5","2","300|310","","71|83","3|4",
"173","6","2","400|410","","71|83","3|4",
"173","!","2","800|810","","71|83|202|83","0|0",

