"questId","keyNum","treasureNum","trapNum","enemyNum",
"121","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"121","1","7","20|45","","49","1|2",
"121","2","5","50|75","","49","1|3",
"121","3","5","100|110","","49|61","2|3",
"121","4","2","120|130","","49|61","2|4",
"121","5","2","160|170","","61|73","3|4",
"121","6","2","220|230","","61|73","3|4",
"121","!","2","450|460","","61|73|187","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"122","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"122","1","7","20|45","","49","1|2",
"122","2","5","50|75","","49","1|3",
"122","3","5","100|110","","49|61","2|3",
"122","4","2","120|130","","49|61","2|4",
"122","5","2","160|170","","61|73","3|4",
"122","6","2","220|230","","61|73","3|4",
"122","!","2","450|460","","61|73|187","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"123","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"123","1","7","30|55","","49","1|2",
"123","2","5","75|85","","49","1|3",
"123","3","5","140|150","","49|61","2|3",
"123","4","2","180|190","","49|61","2|4",
"123","5","2","220|230","","61|73","3|4",
"123","6","2","290|300","","61|73","3|4",
"123","!","2","600|610","","61|73|187","0|0",

