"questId","keyNum","treasureNum","trapNum","enemyNum",
"111","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"111","1","7","20|45","","49|51","1|1",
"111","2","5","50|75","","49|51|53","1|2",
"111","3","5","100|110","","49|51|53","1|3",
"111","4","2","120|130","","49|51|53","1|4",
"111","5","2","160|170","","49|51|53","3|4",
"111","6","2","220|230","","49|51|53","3|5",
"111","!","2","450|460","","49|49|51|51|53|53","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"112","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"112","1","7","20|45","","49|51","1|1",
"112","2","5","50|75","","49|51|53","1|2",
"112","3","5","100|110","","49|51|53","1|3",
"112","4","2","120|130","","49|51|53","1|4",
"112","5","2","160|170","","49|51|53","3|4",
"112","6","2","220|230","","49|51|53","3|5",
"112","!","2","450|460","","49|49|51|51|53|53","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"113","1","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"113","1","7","30|55","","49|51","1|1",
"113","2","5","75|85","","49|51|53","1|2",
"113","3","5","140|150","","49|51|53","1|3",
"113","4","2","180|190","","49|51|53","1|4",
"113","5","2","220|230","","49|51|53","3|4",
"113","6","2","290|300","","49|51|53","3|5",
"113","!","2","600|610","","49|49|51|51|53|53","0|0",

