"questId","stamina","coin","exp","floor",
"111","3","1,610","5","1",
"112","3","1,610","6","1",
"113","5","2,190","15","1",

"questId","stamina","coin","exp","floor",
"121","3","1,610","8","1",
"122","3","1,610","15","1",
"123","5","2,190","29","1",

"questId","stamina","coin","exp","floor",
"131","3","1,610","9","1",
"132","3","1,610","15","1",
"133","5","2,190","29","1",

"questId","stamina","coin","exp","floor",
"141","3","1,876","10","1",
"142","3","1,876","17","1",
"143","5","2,440","33","1",

"questId","stamina","coin","exp","floor",
"151","3","1,876","13","1",
"152","3","1,876","23","1",
"153","5","2,440","43","1",

"questId","stamina","coin","exp","floor",
"161","3","1,876","14","1",
"162","3","1,876","23","1",
"163","5","2,440","48","1",

"questId","stamina","coin","exp","floor",
"171","3","2,002","32","1",
"172","3","2,002","43","1",
"173","5","2,746","62","1",

