questId,keyNum,treasureNum,trapNum,enemyNum,,
10121,1,5,2,15,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10121,1,8,5|10,3:1|,187,3|4
10121,2,5,5|10,3:1|,187,3|4
10121,3,5,5|10,3:1|,187,3|4
10121,4,2,5|10,3:1|,187|187|187|187|188,1|1
10121,5,2,5|10,3:1|,187|187|187|188,2|2
10121,6,2,5|10,3:2|,187|187|188,1|1
10121,!,1,10|15,3:2|,187|187|187|187|188,4|4
,,,,,,
questId,keyNum,treasureNum,trapNum,enemyNum,,
10122,2,5,2,15,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10122,1,8,5|10,3:1|,187,3|4
10122,2,5,5|10,3:1|,187,4|5
10122,3,5,5|10,3:1|,187,5|6
10122,4,2,5|10,3:1|,187|187|187|188|188|188|187,1|3
10122,5,2,5|10,3:1|,187|187|188|188|188|187,2|3
10122,6,2,5|10,3:2|,187|188|188|188|187,3|3
10122,!,1,10|15,3:2|,188,1|1
,,,,,,
questId,keyNum,treasureNum,trapNum,enemyNum,,
10123,2,10,2,10,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10123,1,3,5|10,3:1|,188,1|1
10123,2,4,5|10,3:1|,188,1|2
10123,3,6,5|10,3:1|,188,2|2
10123,4,6,5|10,3:1|,188|188|188|189,1|3
10123,5,3,5|10,3:1|,188|188|188|189,2|3
10123,6,2,5|10,3:2|,188|188|188|189,3|3
10123,!,1,10|15,3:2|,188|188|188|189,1|1
