questId,keyNum,treasureNum,trapNum,enemyNum,,
10141,1,5,2,15,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10141,1,8,5|10,3:1|,193,3|4
10141,2,5,5|10,3:1|,193,3|4
10141,3,5,5|10,3:1|,193,3|4
10141,4,2,5|10,3:1|,193|193|193|193|194,1|1
10141,5,2,5|10,3:1|,193|193|193|194,2|2
10141,6,2,5|10,3:2|,193|193|194,1|1
10141,!,1,10|15,3:2|,193|193|193|193|194,4|4
,,,,,,
questId,keyNum,treasureNum,trapNum,enemyNum,,
10142,2,5,2,15,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10142,1,8,5|10,3:1|,193,3|4
10142,2,5,5|10,3:1|,193,4|5
10142,3,5,5|10,3:1|,193,5|6
10142,4,2,5|10,3:1|,193|193|193|194|194|194|193,1|3
10142,5,2,5|10,3:1|,193|193|194|194|194|193,2|3
10142,6,2,5|10,3:2|,193|194|194|194|193,3|3
10142,!,1,10|15,3:2|,194,1|1
,,,,,,
questId,keyNum,treasureNum,trapNum,enemyNum,,
10143,2,10,2,10,,
,,,,,,
questId,star,starNum,treasure,trap,enemyPool,enemyNum
10143,1,3,5|10,3:1|,194,1|1
10143,2,4,5|10,3:1|,194,1|2
10143,3,6,5|10,3:1|,194,2|2
10143,4,6,5|10,3:1|,194|194|194|195,1|2
10143,5,3,5|10,3:1|,194|194|194|195,2|3
10143,6,2,5|10,3:2|,194|194|194|195,3|3
10143,!,1,10|15,3:2|,194|194|194|195,1|1
