"stageId","风","火","水","光","闇","无","心",
"51","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"52","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"53","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"54","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"55","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"56","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"57","14","14","14","14","14","14","16",

