"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"51","1","74","1656","2","3441","0","73","6","15",
"51","2","97","3056","4","5157","0","97","8","15",
"51","3","121","2012","2","5050","0","121","7","5",
"51","4","50","1580","2","8350","0","49","6","15",
"51","5","187","10","1","3","2000","187","1","25",
"51","6","181","999","1","8500","0","181","6","30",
"51","7","26","5195","4","28670","0","25","5","1",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"52","1","76","1742","2","3536","0","75","10","15",
"52","2","99","3146","4","5196","0","99","7","15",
"52","3","123","2051","2","5061","0","123","7","5",
"52","4","52","1586","2","8387","0","51","9","15",
"52","5","190","10","1","3","2000","190","1","25",
"52","6","182","1023","1","8513","0","182","5","30",
"52","7","30","5276","4","28660","0","29","10","1",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"53","1","78","1789","2","3603","0","77","5","15",
"53","2","101","3210","4","5280","0","101","7","15",
"53","3","125","2146","2","5059","0","125","7","5",
"53","4","54","1636","2","8428","0","53","8","15",
"53","5","193","10","1","3","2000","193","1","25",
"53","6","183","1105","1","8590","0","183","6","30",
"53","7","34","5345","4","28681","0","33","6","1",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"54","1","80","1866","2","3676","0","79","10","15",
"54","2","103","3293","4","5334","0","103","9","15",
"54","3","127","2194","2","5092","0","127","7","5",
"54","4","56","1687","2","8448","0","55","10","15",
"54","5","196","10","1","3","2000","196","1","25",
"54","6","184","1165","1","8655","0","184","7","30",
"54","7","38","5339","4","28737","0","37","9","1",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"55","1","82","1943","2","3776","0","81","9","15",
"55","2","105","3322","4","5411","0","105","9","15",
"55","3","129","2229","2","5090","0","129","8","5",
"55","4","58","1757","2","8450","0","57","10","15",
"55","5","199","10","1","3","2000","199","1","25",
"55","6","185","1227","1","8740","0","185","8","30",
"55","7","42","5365","4","28759","0","41","6","1",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"56","1","84","1985","2","3805","0","83","7","15",
"56","2","107","3341","4","5427","0","107","9","15",
"56","3","131","2271","2","5178","0","131","5","5",
"56","4","60","1849","2","8509","0","59","9","15",
"56","5","202","10","1","3","2000","202","1","25",
"56","6","186","1251","1","8748","0","186","5","30",
"56","7","46","5425","4","28839","0","45","7","1",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"57","1","202","10","1","3","2000","202","1","25",
"57","2","127","2330","2","5259","0","127","8","5",
"57","3","129","2310","2","5210","0","129","10","5",
"57","4","131","2271","2","5178","0","131","5","3",
"57","5","50","1849","2","8509","0","49","6","15",
"57","6","52","1849","2","8509","0","51","7","15",
"57","7","54","1849","2","8509","0","53","6","15",
"57","8","184","1251","2","8748","0","184","8","30",

