"questId","keyNum","treasureNum","trapNum","enemyNum",
"511","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"511","1","7","350|360","3:2|4:2|","74","1|2",
"511","2","5","650|660","3:2|4:2|","74|121","1|3",
"511","3","5","1000|1100","3:2|4:2|","74|121|97","2|2",
"511","4","2","1300|1400","3:2|4:2|","121|97","2|3",
"511","5","2","1650|1750","3:2|4:2|","121|97|181","3|3",
"511","6","2","2000|2100","3:2|4:2|","181|187|50","3|4",
"511","!","2","2000|2100","3:2|4:2|","26|26|181|187","1|1",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"512","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"512","1","7","350|360","3:2|4:2|","74","1|2",
"512","2","5","650|660","3:2|4:2|","74|121","1|3",
"512","3","5","1000|1100","3:2|4:2|","74|121|97","2|2",
"512","4","2","1300|1400","3:2|4:2|","121|97","2|3",
"512","5","2","1650|1750","3:2|4:2|","121|97|181","3|3",
"512","6","2","2000|2100","3:2|4:2|","181|187|50","3|4",
"512","!","2","2000|2100","3:2|4:2|","26|26|181|187","1|1",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"513","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"513","1","7","350|360","3:2|4:2|","74","1|2",
"513","2","5","650|660","3:2|4:2|","74|121","1|3",
"513","3","5","1000|1100","3:2|4:2|","74|121|97","2|2",
"513","4","2","1300|1400","3:2|4:2|","121|97","2|3",
"513","5","2","1650|1750","3:2|4:2|","121|97|181","3|3",
"513","6","2","2000|2100","3:2|4:2|","181|187|50","3|4",
"513","!","2","2000|2100","3:2|4:2|","26|26|181|187","1|1",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"514","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"514","1","7","400|410","3:2|4:2|","74","1|2",
"514","2","5","750|760","3:2|4:2|","74|121","1|3",
"514","3","5","1150|1250","3:2|4:2|","74|121|97","2|2",
"514","4","2","1500|1600","3:2|4:2|","121|97","2|3",
"514","5","2","1900|2000","3:2|4:2|","121|97|181","3|3",
"514","6","2","2300|2400","3:2|4:2|","181|187|50","3|4",
"514","!","2","2300|2400","3:2|4:2|","26|26|181|187","1|1",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"515","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"515","1","7","400|410","3:2|4:2|","74","1|2",
"515","2","5","750|760","3:2|4:2|","74|121","1|3",
"515","3","5","1150|1250","3:2|4:2|","74|121|97","2|2",
"515","4","2","1500|1600","3:2|4:2|","121|97","2|3",
"515","5","2","1900|2000","3:2|4:2|","121|97|181","3|3",
"515","6","2","2300|2400","3:2|4:2|","181|187|50","3|4",
"515","!","2","2300|2400","3:2|4:2|","26|26|181|187","1|1",

