"questId","stamina","coin","exp","floor",
"511","10","39,185","396","3",
"512","10","44,990","412","3",
"513","10","44,990","425","3",
"514","10","44,990","450","3",
"515","12","54,583","612","3",

"questId","stamina","coin","exp","floor",
"521","10","44,990","435","3",
"522","10","34,698","420","3",
"523","10","49,084","426","3",
"524","10","36,085","525","3",
"525","12","47,145","629","3",

"questId","stamina","coin","exp","floor",
"531","10","71,468","528","3",
"532","10","36,085","445","3",
"533","10","57,989","505","3",
"534","10","36,085","553","3",
"535","12","51,164","662","3",

"questId","stamina","coin","exp","floor",
"541","10","44,990","621","3",
"542","10","36,085","493","3",
"543","10","75,712","514","3",
"544","10","40,596","641","3",
"545","12","47,145","762","3",

"questId","stamina","coin","exp","floor",
"551","10","40,596","627","3",
"552","10","33,513","497","3",
"553","10","49,084","523","3",
"554","10","40,596","645","3",
"555","12","58,977","763","3",

"questId","stamina","coin","exp","floor",
"561","10","40,596","633","3",
"562","10","33,513","500","3",
"563","10","49,084","530","3",
"564","10","40,596","647","3",
"565","12","58,977","769","3",

"questId","stamina","coin","exp","floor",
"571","11","44,990","635","3",
"572","11","40,596","508","3",
"573","11","40,596","540","3",
"574","11","40,596","648","3",
"575","14","81,983","953","3",

