"questId","keyNum","treasureNum","trapNum","enemyNum",
"11161","1","13","2","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11161","1","8","150|160","3:1|4:1|1:1|7:1|","83|59|71","2|2",
"11161","2","5","300|310","3:1|4:1|1:1|7:1|","83|59|71","3|3",
"11161","3","5","500|510","3:1|4:1|1:1|7:1|","83|59|71","4|4",
"11161","4","2","650|660","3:1|4:1|1:1|7:1|","84|107|59","3|3",
"11161","5","2","800|810","3:1|4:1|1:1|7:1|","107|131","2|2",
"11161","6","2","950|960","3:1|4:1|1:1|7:1|","107|131","2|4",
"11161","!","1","950|960","3:1|4:1|1:1|7:1|","107|131","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11162","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11162","1","8","450|460","3:1|1:1|","83|84","2|2",
"11162","2","5","900|910","3:1|1:1|","83|84","3|3",
"11162","3","5","1350|1450","3:1|1:1|","83","4|4",
"11162","4","2","1850|1950","3:1|1:1|","107|108|131","3|3",
"11162","5","2","2300|2400","3:1|1:1|","108|131|72|119","2|2",
"11162","6","2","2750|2850","3:1|1:1|","72|132|119|120","2|4",
"11162","!","1","2750|2850","3:1|1:1|","119|120|132","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11163","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11163","1","8","450|460","3:1|1:1|","83|84","2|2",
"11163","2","5","900|910","3:1|1:1|","83|84","3|3",
"11163","3","5","1350|1450","3:1|1:1|","83","4|4",
"11163","4","2","1850|1950","3:1|1:1|","107|108|131","3|3",
"11163","5","2","2300|2400","3:1|1:1|","108|131|72|119","2|2",
"11163","6","2","2750|2850","3:1|1:1|","72|132|119|120","2|4",
"11163","!","1","2750|2850","3:1|1:1|","119|120|132","3|4",

