"questId","keyNum","treasureNum","trapNum","enemyNum",
"11121","1","13","2","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11121","1","8","150|160","3:1|4:1|1:1|7:1|","75|51|63","2|2",
"11121","2","5","300|310","3:1|4:1|1:1|7:1|","75|51|63","3|3",
"11121","3","5","450|460","3:1|4:1|1:1|7:1|","75|51|63","4|4",
"11121","4","2","600|610","3:1|4:1|1:1|7:1|","76|99|51","3|3",
"11121","5","2","750|760","3:1|4:1|1:1|7:1|","99|123","2|2",
"11121","6","2","900|910","3:1|4:1|1:1|7:1|","99|123","2|4",
"11121","!","1","900|910","3:1|4:1|1:1|7:1|","99|123","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11122","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11122","1","8","500|510","1:1|","75|76","2|2",
"11122","2","5","1000|1100","1:1|","75|76","3|3",
"11122","3","5","1500|1600","1:1|","75","4|4",
"11122","4","2","2000|2100","1:1|","99|100|123","3|3",
"11122","5","2","2500|2600","1:1|","100|123|64|111","2|2",
"11122","6","2","2950|3050","1:1|","64|124|111|112","2|4",
"11122","!","1","2950|3050","1:1|","111|112|124","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11123","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11123","1","8","500|510","1:1|","75|76","2|2",
"11123","2","5","1000|1100","1:1|","75|76","3|3",
"11123","3","5","1500|1600","1:1|","75","4|4",
"11123","4","2","2000|2100","1:1|","99|100|123","3|3",
"11123","5","2","2500|2600","1:1|","100|123|64|111","2|2",
"11123","6","2","2950|3050","1:1|","64|124|111|112","2|4",
"11123","!","1","2950|3050","1:1|","111|112|124","3|4",

