"questId","keyNum","treasureNum","trapNum","enemyNum",
"11151","1","13","2","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11151","1","8","150|160","3:1|4:1|1:1|7:1|","81|57|69","2|2",
"11151","2","5","300|310","3:1|4:1|1:1|7:1|","81|57|69","3|3",
"11151","3","5","450|460","3:1|4:1|1:1|7:1|","81|57|69","4|4",
"11151","4","2","600|610","3:1|4:1|1:1|7:1|","82|105|57","3|3",
"11151","5","2","750|760","3:1|4:1|1:1|7:1|","105|129","2|2",
"11151","6","2","900|910","3:1|4:1|1:1|7:1|","105|129","2|4",
"11151","!","1","900|910","3:1|4:1|1:1|7:1|","105|129","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11152","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11152","1","8","500|510","8:2|7:2|","81|82","2|2",
"11152","2","5","1000|1100","8:2|7:2|","81|82","3|3",
"11152","3","5","1500|1600","8:2|7:2|","81","4|4",
"11152","4","2","2000|2100","8:2|7:2|","105|106|129","3|3",
"11152","5","2","2500|2600","8:2|7:2|","106|129|70|117","2|2",
"11152","6","2","2950|3050","8:2|7:2|","70|130|117|118","2|4",
"11152","!","1","2950|3050","8:2|7:2|","117|118|130","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11153","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11153","1","8","500|510","8:2|7:2|","81|82","2|2",
"11153","2","5","1000|1100","8:2|7:2|","81|82","3|3",
"11153","3","5","1500|1600","8:2|7:2|","81","4|4",
"11153","4","2","2000|2100","8:2|7:2|","105|106|129","3|3",
"11153","5","2","2500|2600","8:2|7:2|","106|129|70|117","2|2",
"11153","6","2","2950|3050","8:2|7:2|","70|130|117|118","2|4",
"11153","!","1","2950|3050","8:2|7:2|","117|118|130","3|4",

