"questId","stamina","coin","exp","floor",
"11111","ここは、魔界＜ヘリスティア＞。","","","",
"11112","12","32280","250","2",
"11113","25","125256","580","3",

"questId","stamina","coin","exp","floor",
"11121","ようこそ、不思議なお茶会へ。","","","",
"11122","12","35352","250","2",
"11123","25","125256","580","3",

"questId","stamina","coin","exp","floor",
"11131","深い深い森のさらに奥深く。","","","",
"11132","12","35352","250","2",
"11133","25","120714","580","3",

"questId","stamina","coin","exp","floor",
"11141","憧れるだけだった舞踏会。","","","",
"11142","12","35352","250","2",
"11143","25","125256","580","3",

"questId","stamina","coin","exp","floor",
"11151","遥かに見上げる望郷の想い。","","","",
"11152","12","35352","250","2",
"11153","25","125256","580","3",

"questId","stamina","coin","exp","floor",
"11161","美しさが罪となる。","","","",
"11162","12","32280","250","2",
"11163","25","125256","580","3",

