"questId","keyNum","treasureNum","trapNum","enemyNum",
"11131","1","13","2","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11131","1","8","150|160","3:1|4:1|1:1|7:1|","77|53|65","2|2",
"11131","2","5","350|360","3:1|4:1|1:1|7:1|","77|53|65","3|3",
"11131","3","5","500|510","3:1|4:1|1:1|7:1|","77|53|65","4|4",
"11131","4","2","650|660","3:1|4:1|1:1|7:1|","78|101|53","3|3",
"11131","5","2","850|860","3:1|4:1|1:1|7:1|","101|125","2|2",
"11131","6","2","1000|1100","3:1|4:1|1:1|7:1|","101|125","2|4",
"11131","!","1","1000|1100","3:1|4:1|1:1|7:1|","101|125","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11132","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11132","1","8","500|510","7:2|","77|78","2|2",
"11132","2","5","1000|1100","7:2|","77|78","3|3",
"11132","3","5","1500|1600","7:2|","77","4|4",
"11132","4","2","2000|2100","7:2|","101|102|125","3|3",
"11132","5","2","2500|2600","7:2|","102|125|66|113","2|2",
"11132","6","2","2950|3050","7:2|","66|126|113|114","2|4",
"11132","!","1","2950|3050","7:2|","113|114|126","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11133","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11133","1","8","500|510","7:2|","77|78","2|2",
"11133","2","5","1000|1100","7:2|","77|78","3|3",
"11133","3","5","1500|1600","7:2|","77","4|4",
"11133","4","2","2000|2100","7:2|","101|102|125","3|3",
"11133","5","2","2500|2600","7:2|","102|125|66|113","2|2",
"11133","6","2","2950|3050","7:2|","66|126|113|114","2|4",
"11133","!","1","2950|3050","7:2|","113|114|126","3|4",

