"questId","keyNum","treasureNum","trapNum","enemyNum",
"11111","1","13","2","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11111","1","8","150|160","3:1|4:1|1:1|7:1|","73|49|61","2|2",
"11111","2","5","350|360","3:1|4:1|1:1|7:1|","73|49|61","3|3",
"11111","3","5","450|460","3:1|4:1|1:1|7:1|","73|49|61","4|4",
"11111","4","2","600|610","3:1|4:1|1:1|7:1|","74|97|49","3|3",
"11111","5","2","750|760","3:1|4:1|1:1|7:1|","97|121","2|2",
"11111","6","2","900|910","3:1|4:1|1:1|7:1|","97|121","2|4",
"11111","!","1","1800|1900","3:1|4:1|1:1|7:1|","97|121","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11112","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11112","1","8","450|460","3:1|","73|74","2|2",
"11112","2","5","900|910","3:1|","73|74","3|3",
"11112","3","5","1350|1450","3:1|","73","4|4",
"11112","4","2","1850|1950","3:1|","97|98|121","3|3",
"11112","5","2","2300|2400","3:1|","98|121|62|109","2|2",
"11112","6","2","2750|2850","3:1|","62|122|109|110","2|4",
"11112","!","1","2750|2850","3:1|","109|110|122","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11113","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11113","1","8","450|460","3:1|","73|74","2|2",
"11113","2","5","900|910","3:1|","73|74","3|3",
"11113","3","5","1350|1450","3:1|","73","4|4",
"11113","4","2","1850|1950","3:1|","97|98|121","3|3",
"11113","5","2","2300|2400","3:1|","98|121|62|109","2|2",
"11113","6","2","2750|2850","3:1|","62|122|109|110","2|4",
"11113","!","1","2750|2850","3:1|","109|110|122","3|4",

