"questId","keyNum","treasureNum","trapNum","enemyNum",
"11141","1","13","2","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11141","1","8","150|160","3:1|4:1|1:1|7:1|","79|55|67","2|2",
"11141","2","5","300|310","3:1|4:1|1:1|7:1|","79|55|67","3|3",
"11141","3","5","450|460","3:1|4:1|1:1|7:1|","79|55|67","4|4",
"11141","4","2","600|610","3:1|4:1|1:1|7:1|","80|103|55","3|3",
"11141","5","2","750|760","3:1|4:1|1:1|7:1|","103|127","2|2",
"11141","6","2","900|910","3:1|4:1|1:1|7:1|","103|127","2|4",
"11141","!","1","900|910","3:1|4:1|1:1|7:1|","103|127","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11142","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11142","1","8","500|510","8:2|","79|80","2|2",
"11142","2","5","1000|1100","8:2|","79|80","3|3",
"11142","3","5","1500|1600","8:2|","79","4|4",
"11142","4","2","2000|2100","8:2|","103|104|127","3|3",
"11142","5","2","2500|2600","8:2|","104|127|68|115","2|2",
"11142","6","2","2950|3050","8:2|","68|128|115|116","2|4",
"11142","!","1","2950|3050","8:2|","115|116|128","3|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"11143","2","13","3","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"11143","1","8","500|510","8:2|","79|80","2|2",
"11143","2","5","1000|1100","8:2|","79|80","3|3",
"11143","3","5","1500|1600","8:2|","79","4|4",
"11143","4","2","2000|2100","8:2|","103|104|127","3|3",
"11143","5","2","2500|2600","8:2|","104|127|68|115","2|2",
"11143","6","2","2950|3050","8:2|","68|128|115|116","2|4",
"11143","!","1","2950|3050","8:2|","115|116|128","3|4",

