"questId","stamina","coin","exp","floor",
"211","5","2,716","55","1",
"212","5","4,915","96","1",
"213","5","2,909","58","1",
"214","5","4,787","100","1",
"215","5","4,664","108","1",

"questId","stamina","coin","exp","floor",
"221","5","2,185","46","1",
"222","5","5,353","100","1",
"223","5","5,110","100","1",
"224","5","5,643","108","1",
"225","5","5,395","108","1",

"questId","stamina","coin","exp","floor",
"231","5","2,053","56","1",
"232","5","5,593","100","1",
"233","5","5,683","100","1",
"234","5","5,992","108","1",
"235","5","5,614","115","1",

"questId","stamina","coin","exp","floor",
"241","5","2,669","60","1",
"242","5","4,934","80","1",
"243","5","4,974","93","1",
"244","5","6,212","133","1",
"245","5","7,694","143","1",

"questId","stamina","coin","exp","floor",
"251","5","4,345","60","1",
"252","5","4,614","96","1",
"253","5","5,423","100","1",
"254","5","6,212","129","1",
"255","5","10,273","139","1",

"questId","stamina","coin","exp","floor",
"261","5","4,614","60","1",
"262","5","7,715","80","1",
"263","5","7,715","93","1",
"264","5","8,085","133","1",
"265","5","7,794","143","1",

"questId","stamina","coin","exp","floor",
"271","5","4,614","79","1",
"272","5","7,715","143","1",
"273","5","7,715","200","1",
"274","5","8,135","158","1",
"275","7","7,794","215","1",

