"stageId","风","火","水","光","闇","无","心",
"21","18","18","18","10","10","10","16",

"stageId","风","火","水","光","闇","无","心",
"22","18","18","18","10","10","10","16",

"stageId","风","火","水","光","闇","无","心",
"23","16","16","16","12","12","12","16",

"stageId","风","火","水","光","闇","无","心",
"24","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"25","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"26","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"27","14","14","14","14","14","14","16",

