"questId","keyNum","treasureNum","trapNum","enemyNum",
"241","2","13","2","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"241","1","7","20|45","3:1|4:1|","55|67","2|2",
"241","2","5","60|90","3:1|4:1|","55|67","2|3",
"241","3","5","200|210","3:1|4:1|","55|67|79","3|3",
"241","4","2","240|250","3:1|4:1|","67|79|160","3|4",
"241","5","2","300|310","3:1|4:1|","103|79|166","3|4",
"241","6","2","400|410","3:1|4:1|","103|91|178","2|2",
"241","!","2","800|810","3:1|4:1|","91|196|184|184|184|103","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"242","2","13","2","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"242","1","7","100|110","3:1|4:1|","55|67","2|2",
"242","2","5","200|210","3:1|4:1|","55|67","2|3",
"242","3","5","300|310","3:1|4:1|","55|67|79","3|3",
"242","4","2","400|410","3:1|4:1|","67|79|160","3|4",
"242","5","2","500|510","3:1|4:1|","103|79|166","3|4",
"242","6","2","700|710","3:1|4:1|","103|91|178","2|2",
"242","!","2","1400|1500","3:1|4:1|","91|196|184|184|184|103","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"243","2","13","2","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"243","1","7","100|110","3:1|4:1|","55|67","2|2",
"243","2","5","200|210","3:1|4:1|","55|67","2|3",
"243","3","5","300|310","3:1|4:1|","55|67|79","3|3",
"243","4","2","440|450","3:1|4:1|","67|79|160","3|4",
"243","5","2","500|510","3:1|4:1|","103|79|166","3|4",
"243","6","2","700|710","3:1|4:1|","103|91|178","2|2",
"243","!","2","1400|1500","3:1|4:1|","91|196|184|184|184|103","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"244","2","13","2","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"244","1","7","100|110","3:1|4:1|","55|67","2|2",
"244","2","5","300|310","3:1|4:1|","55|67","2|3",
"244","3","5","400|410","3:1|4:1|","55|67|79","3|3",
"244","4","2","600|610","3:1|4:1|","67|79|160","3|4",
"244","5","2","700|710","3:1|4:1|","103|79|166","3|4",
"244","6","2","800|810","3:1|4:1|","103|91|178","2|2",
"244","!","2","1600|1700","3:1|4:1|","91|196|184|184|184|103","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"245","2","13","2","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"245","1","7","20|45","3:1|4:1|","55|67","2|2",
"245","2","5","100|110","3:1|4:1|","55|67","2|3",
"245","3","5","160|170","3:1|4:1|","55|67|79","3|3",
"245","4","2","800|810","3:1|4:1|","67|79|160","3|4",
"245","5","2","1100|1200","3:1|4:1|","103|79|166","3|4",
"245","6","2","1500|1600","3:1|4:1|","103|91|178","2|2",
"245","!","2","3000|3100","3:1|4:1|","91|196|184|184|184|103","4|4",

