"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"211","1","50","123","3","1867","10","49","3","35",
"211","2","50","123","3","1867","10","49","3","35",
"212","1","86","144","3","2907","36","85","3","10",
"212","2","86","144","3","2907","36","85","3","10",
"213","1","26","427","3","4213","32","25","1","0.15",
"214","1","109","144","2","2080","16","109","1","1",
"214","2","109","144","2","2080","16","109","1","1",
"215","1","27","468","3","6533","90","25","1","0.15",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"221","1","52","128","3","2400","10","51","3","35",
"221","2","52","128","3","2400","10","51","3","35",
"222","1","88","123","3","2483","31","87","3","10",
"222","2","88","123","3","2483","31","87","3","10",
"223","1","30","464","3","4583","35","29","1","0.15",
"224","1","111","160","2","2311","18","111","1","1",
"224","2","111","160","2","2311","18","111","1","1",
"225","1","31","580","3","7533","104","29","1","0.15",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"231","1","54","139","3","2933","10","53","3","35",
"231","2","54","139","3","2933","10","53","3","35",
"232","1","90","204","3","3440","36","89","3","10",
"232","2","90","204","3","3440","36","89","3","10",
"233","1","34","454","3","4747","32","33","1","0.15",
"234","1","113","176","2","2347","32","113","1","1",
"234","2","113","176","2","2347","32","113","1","1",
"235","1","35","615","3","8400","90","33","1","0.15",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"241","1","56","188","3","4987","13","55","3","35",
"241","2","56","188","3","4987","13","55","3","35",
"242","1","92","306","3","4480","45","91","3","10",
"242","2","92","306","3","4480","45","91","3","10",
"243","1","38","215","2","5487","40","37","1","0.15",
"243","2","38","215","2","5487","40","37","1","0.15",
"244","1","115","225","2","3055","20","115","1","1",
"244","2","115","225","2","3055","20","115","1","1",
"245","1","39","758","3","10937","113","37","1","0.15",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"251","1","58","209","3","5382","13","57","3","35",
"251","2","58","209","3","5382","13","57","3","35",
"252","1","94","354","3","4827","45","93","3","10",
"252","2","94","354","3","4827","45","93","3","10",
"253","1","42","375","3","5833","40","41","1","0.15",
"253","2","42","375","3","5833","40","41","1","0.15",
"254","1","117","271","2","3043","20","117","1","1",
"254","2","117","271","2","3043","20","117","1","1",
"255","1","43","886","3","12718","113","41","1","0.15",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"261","1","60","223","3","4707","15","59","3","35",
"261","2","60","223","3","4707","15","59","3","35",
"262","1","96","328","3","5520","54","95","3","10",
"262","2","96","328","3","5520","54","95","3","10",
"263","1","46","366","3","8983","30","45","1","0.15",
"263","2","46","366","3","8983","30","45","1","0.15",
"264","1","119","592","4","13262","60","119","1","0.25",
"264","2","119","592","4","13262","60","119","1","0.25",
"265","1","47","1258","3","21988","125","45","1","0.15",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"271","1","50","123","3","1867","10","49","4","35",
"271","2","52","90","3","1364","7","51","4","35",
"271","3","54","139","3","2933","10","53","4","35",
"272","1","88","123","3","2483","31","87","4","10",
"272","2","90","204","3","3440","36","89","4","10",
"272","3","86","144","3","2907","36","85","4","10",
"273","1","34","254","3","4747","32","33","2","0.2",
"273","2","26","427","3","4213","32","25","2","0.2",
"273","3","30","464","3","4583","35","29","2","0.2",
"274","1","110","204","3","3043","20","109","2","1",
"274","2","112","204","3","3043","20","111","2","1",
"274","3","114","204","3","3043","20","113","2","1",
"275","1","31","603","3","7533","104","29","2","0.2",
"275","2","35","540","3","8400","90","33","2","0.2",
"275","3","27","650","3","7856","74","25","2","0.2",

