"questId","keyNum","treasureNum","trapNum","enemyNum",
"211","2","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"211","1","7","30|55","","49|61","2|2",
"211","2","5","100|110","","49|61","2|3",
"211","3","5","150|160","","49|61|73","3|3",
"211","4","2","240|250","","61|73|163","3|4",
"211","5","2","300|310","","97|73|157","3|4",
"211","6","2","400|410","","97|85|175","2|2",
"211","!","2","800|810","","85|97|187|181|181|181","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"212","2","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"212","1","7","60|90","","49|61","2|2",
"212","2","5","200|210","","49|61","2|3",
"212","3","5","300|310","","49|61|73","3|3",
"212","4","2","500|510","","61|73|163","3|4",
"212","5","2","540|550","","97|73|157","3|4",
"212","6","2","640|650","","97|85|175","2|2",
"212","!","2","1300|1400","","85|97|187|181|181|181","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"213","2","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"213","1","7","40|65","","49|61","2|2",
"213","2","5","100|110","","49|61","2|3",
"213","3","5","200|210","","49|61|73","3|3",
"213","4","2","240|250","","61|73|163","3|4",
"213","5","2","300|310","","97|73|157","3|4",
"213","6","2","400|410","","97|85|175","2|2",
"213","!","2","800|810","","85|97|187|181|181|181","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"214","2","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"214","1","7","20|45","","49|61","2|2",
"214","2","5","40|65","","49|61","2|3",
"214","3","5","80|90","","49|61|73","3|3",
"214","4","2","500|510","","61|73|163","3|4",
"214","5","2","700|710","","97|73|157","3|4",
"214","6","2","900|910","","97|85|175","2|2",
"214","!","2","1800|1900","","85|97|187|181|181|181","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"215","2","13","0","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"215","1","7","20|45","","49|61","2|2",
"215","2","5","60|90","","49|61","2|3",
"215","3","5","100|110","","49|61|73","3|3",
"215","4","2","400|410","","61|73|163","3|4",
"215","5","2","600|610","","97|73|157","3|4",
"215","6","2","900|910","","97|85|175","2|2",
"215","!","2","1800|1900","","85|97|187|181|181|181","4|4",

