[MapInfo];;;;;;;;;
ID;Name;StaminaCost;Gold;FloorCount;Exp;;;;
1;LightOfFairy;3;9;1;5;;;;
[BOSS];;;;;;;;;
ID;UnitID;Attack;Next;HP;Defense;DropID;DropRate;DropLevel;AddRate
1;11;30;3;230;2;11;35;1;0.5
2;9;15;3;280;2;9;35;1;0.5
[Special];;;;;;;;;
Count;GoldRange;Trap;EnemyID;IsRandom;EnemyRange;;;;
1;120|130;;1|2|3;0;1|1|2|2|3|3;;;;
[EnemyInfo];;;;;;;;;
EnemyID;UnitID;Attack;Next;HP;Defense;DropID;DropRate;DropLevel;AddRate
1;3;6;3;18;1;3;50;1;0.5
2;11;6;3;20;1;11;50;1;0.5
3;1;7;3;23;1;1;50;1;0.5
[PanelRate];;;;;;;;;
ID;Rate;;;;;;;;
0;28;;;;;;;;
1;28;;;;;;;;
2;28;;;;;;;;
3;0;;;;;;;;
4;0;;;;;;;;
5;0;;;;;;;;
6;16;;;;;;;;
[1];;;;;;;;;
Level;Count;GoldRange;Trap;EnemyID;EnemyRange;;;;
1;8;1|3;1|2;1|2;1|1;;;;
2;5;3|7;1|2;1|2|3;1|2;;;;
3;5;7|20;1|2;1|2|3;1|3;;;;
4;2;20|45;1|2;1|2|3;1|4;;;;
5;2;45|70;1|2;1|2|3;3|4;;;;
6;2;60|90;1|2;1|2|3;3|5;;;;
