"questId","keyNum","treasureNum","trapNum","enemyNum",
"611","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"611","1","6","400|410","3:2|7:3|","50|175","2|3",
"611","2","5","700|710","3:2|7:3|","50|175|169","2|4",
"611","3","5","1100|1200","3:2|7:3|","175|169|85","3|4",
"611","4","2","1500|1600","3:2|7:3|2:3|","169|169|85|85","3|4",
"611","5","2","1900|2000","3:2|7:3|2:3|","169|86|85","4|4",
"611","6","2","2400|2500","3:2|7:3|2:3|","86|86|85|85","2|2",
"611","!","3","2800|2900","3:2|7:3|2:3|","205|205|205|187","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"612","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"612","1","6","400|410","3:2|7:3|","50|175","2|3",
"612","2","5","700|710","3:2|7:3|","50|175|169","2|4",
"612","3","5","1100|1200","3:2|7:3|","175|169|85","3|4",
"612","4","2","1500|1600","3:2|7:3|2:3|","169|169|85|85","3|4",
"612","5","2","1900|2000","3:2|7:3|2:3|","169|86|85","4|4",
"612","6","2","2400|2500","3:2|7:3|2:3|","86|86|85|85","2|2",
"612","!","3","2800|2900","3:2|7:3|2:3|","205|205|205|187","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"613","4","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"613","1","6","400|410","3:2|7:3|","50|175","2|3",
"613","2","5","700|710","3:2|7:3|","50|175|169","2|4",
"613","3","5","1100|1200","3:2|7:3|","175|169|85","3|4",
"613","4","2","1500|1600","3:2|7:3|2:3|","169|169|85|85","3|4",
"613","5","2","1900|2000","3:2|7:3|2:3|","169|86|85","4|4",
"613","6","2","2400|2500","3:2|7:3|2:3|","86|86|85|85","2|2",
"613","!","3","2800|2900","3:2|7:3|2:3|","205|205|205|187","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"614","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"614","1","6","400|410","3:2|7:3|","50|175","2|3",
"614","2","5","700|710","3:2|7:3|","50|175|169","2|4",
"614","3","5","1100|1200","3:2|7:3|","175|169|85","3|4",
"614","4","2","1500|1600","3:2|7:3|2:3|","169|169|85|85","3|4",
"614","5","2","1900|2000","3:2|7:3|2:3|","169|86|85","4|4",
"614","6","2","2400|2500","3:2|7:3|2:3|","86|86|85|85","2|2",
"614","!","3","2800|2900","3:2|7:3|2:3|","205|205|205|187","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"615","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"615","1","6","400|410","3:2|7:3|","50|175","2|3",
"615","2","5","700|710","3:2|7:3|","50|175|169","2|4",
"615","3","5","1100|1200","3:2|7:3|","175|169|85","3|4",
"615","4","2","1500|1600","3:2|7:3|2:3|","169|169|85|85","3|4",
"615","5","2","1900|2000","3:2|7:3|2:3|","169|86|85","4|4",
"615","6","2","2400|2500","3:2|7:3|2:3|","86|86|85|85","2|2",
"615","!","3","2800|2900","3:2|7:3|2:3|","205|205|205|187","3|3",

