"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"61","1","50","2238","4","9121","0","49","8","None",
"61","2","169","2714","3","12542","0","169","3","None",
"61","3","175","2521","3","9270","0","175","3","None",
"61","4","85","2028","2","14308","0","85","5","None",
"61","5","86","2810","3","21210","0","85","6","None",
"61","6","205","3241","3","10080","0","205","5","None",
"61","7","187","10","1","3","2000","187","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"62","1","52","2253","4","9175","0","51","8","None",
"62","2","170","2768","3","12592","0","170","3","None",
"62","3","176","2587","3","9296","0","176","3","None",
"62","4","87","2085","2","14352","0","87","5","None",
"62","5","88","2828","3","21260","0","87","6","None",
"62","6","207","3310","3","10100","0","207","5","None",
"62","7","190","10","1","3","2000","190","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"63","1","54","2306","4","9242","0","53","8","None",
"63","2","171","2815","3","12628","0","171","3","None",
"63","3","177","2648","3","9359","0","177","3","None",
"63","4","89","2102","2","14372","0","89","5","None",
"63","5","90","2869","3","21327","0","89","6","None",
"63","6","209","3321","3","10158","0","209","5","None",
"63","7","193","10","1","3","2000","193","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"64","1","56","2343","4","9290","0","55","8","None",
"64","2","172","2867","3","12671","0","172","3","None",
"64","3","178","2709","3","9398","0","178","3","None",
"64","4","91","2120","2","14398","0","91","5","None",
"64","5","92","2909","3","21353","0","91","6","None",
"64","6","211","3364","3","10201","0","211","5","None",
"64","7","196","10","1","3","2000","196","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"65","1","58","2392","4","9314","0","57","8","None",
"65","2","173","2925","3","12723","0","173","3","None",
"65","3","179","2737","3","9423","0","179","3","None",
"65","4","93","2130","2","14428","0","93","5","None",
"65","5","94","2959","3","21399","0","93","6","None",
"65","6","213","3393","3","10253","0","213","5","None",
"65","7","199","10","1","3","2000","199","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"66","1","60","2432","4","9340","0","59","8","None",
"66","2","174","2945","3","12747","0","174","3","None",
"66","3","180","2768","3","9451","0","180","3","None",
"66","4","95","2166","2","14481","0","95","5","None",
"66","5","96","2985","3","21432","0","95","6","None",
"66","6","215","3427","3","10284","0","215","5","None",
"66","7","202","10","1","3","2000","202","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"67","1","205","3450","3","10364","0","205","5","None",
"67","2","207","3489","3","10326","0","207","5","None",
"67","3","209","3518","3","10305","0","209","5","None",
"67","4","91","2993","2","12768","0","91","5","None",
"67","5","93","2978","2","12786","0","93","5","None",
"67","6","95","2971","2","12779","0","95","5","None",
"67","7","169","2966","3","12768","0","169","3","None",
"67","8","170","2988","3","12786","0","170","3","None",
"67","9","171","2994","3","12775","0","171","3","None",
"67","10","172","2976","3","12778","0","172","3","None",
"67","11","173","2971","3","12782","0","173","3","None",
"67","12","174","2970","3","12783","0","174","3","None",

