"questId","stamina","coin","exp","floor",
"611","10","42,538","500","3",
"612","10","42,582","500","3",
"613","10","45,666","530","3",
"614","10","50,149","550","3",
"615","12","70,089","900","3",

"questId","stamina","coin","exp","floor",
"621","10","42,768","520","3",
"622","10","42,817","520","3",
"623","10","45,906","570","3",
"624","10","50,394","570","3",
"625","12","70,339","920","3",

"questId","stamina","coin","exp","floor",
"631","10","44,796","540","3",
"632","10","44,850","540","3",
"633","10","48,073","590","3",
"634","10","52,563","590","3",
"635","12","72,960","940","3",

"questId","stamina","coin","exp","floor",
"641","10","45,077","560","3",
"642","10","45,137","560","3",
"643","10","48,366","610","3",
"644","10","52,862","610","3",
"645","12","73,265","940","3",

"questId","stamina","coin","exp","floor",
"651","10","47,161","600","3",
"652","10","47,227","600","3",
"653","10","50,462","650","3",
"654","10","55,130","650","3",
"655","12","75,792","980","3",

"questId","stamina","coin","exp","floor",
"661","10","47,504","640","3",
"662","10","47,577","640","3",
"663","10","50,819","690","3",
"664","10","55,494","690","3",
"665","12","76,163","1020","3",

"questId","stamina","coin","exp","floor",
"671","11","48,897","530","3",
"672","11","48,977","530","3",
"673","11","55,431","720","3",
"674","11","58,050","600","3",
"675","14","79,804","1200","3",

