"questId","keyNum","treasureNum","trapNum","enemyNum",
"671","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"671","1","6","500|510","3:2|8:3|","169|170|171","2|2",
"671","2","5","800|810","3:2|8:3|","172|173|174","2|3",
"671","3","5","1200|1300","3:2|8:3|","209|207|205|95","2|3",
"671","4","2","1650|1750","3:2|8:3|2:3|","91|93|205|170|171","3|3",
"671","5","2","2000|2100","3:2|8:3|2:3|","207|95|209|173|172","3|4",
"671","6","2","2550|2650","3:2|8:3|2:3|","95|205|93|207|209|91","3|4",
"671","!","3","3200|3300","3:2|8:3|2:3|","95|205|93|207|209|91","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"672","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"672","1","6","500|510","3:2|8:3|","169|170|171","2|2",
"672","2","5","800|810","3:2|8:3|","172|173|174","2|3",
"672","3","5","1200|1300","3:2|8:3|","209|207|205|95","2|3",
"672","4","2","1650|1750","3:2|8:3|2:3|","91|93|205|170|171","3|3",
"672","5","2","2000|2100","3:2|8:3|2:3|","207|95|209|173|172","3|4",
"672","6","2","2550|2650","3:2|8:3|2:3|","95|205|93|207|209|91","3|4",
"672","!","3","3200|3300","3:2|8:3|2:3|","95|205|93|207|209|91","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"673","4","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"673","1","6","500|510","3:2|8:3|","169|170|171","2|2",
"673","2","5","800|810","3:2|8:3|","172|173|174","2|3",
"673","3","5","1200|1300","3:2|8:3|","209|207|205|95","2|3",
"673","4","2","1650|1750","3:2|8:3|2:3|","91|93|205|170|171","3|3",
"673","5","2","2000|2100","3:2|8:3|2:3|","207|95|209|173|172","3|4",
"673","6","2","2550|2650","3:2|8:3|2:3|","95|205|93|207|209|91","3|4",
"673","!","3","3200|3300","3:2|8:3|2:3|","95|205|93|207|209|91","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"674","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"674","1","6","500|510","3:2|8:3|","169|170|171","2|2",
"674","2","5","800|810","3:2|8:3|","172|173|174","2|3",
"674","3","5","1200|1300","3:2|8:3|","209|207|205|95","2|3",
"674","4","2","1650|1750","3:2|8:3|2:3|","91|93|205|170|171","3|3",
"674","5","2","2000|2100","3:2|8:3|2:3|","207|95|209|173|172","3|4",
"674","6","2","2550|2650","3:2|8:3|2:3|","95|205|93|207|209|91","3|4",
"674","!","3","3200|3300","3:2|8:3|2:3|","95|205|93|207|209|91","4|4",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"675","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"675","1","6","500|510","3:2|8:3|","169|170|171","2|2",
"675","2","5","800|810","3:2|8:3|","172|173|174","2|3",
"675","3","5","1200|1300","3:2|8:3|","209|207|205|95","2|3",
"675","4","2","1650|1750","3:2|8:3|2:3|","91|93|205|170|171","3|3",
"675","5","2","2000|2100","3:2|8:3|2:3|","207|95|209|173|172","3|4",
"675","6","2","2550|2650","3:2|8:3|2:3|","95|205|93|207|209|91","3|4",
"675","!","3","3200|3300","3:2|8:3|2:3|","95|205|93|207|209|91","4|4",

