"questId","keyNum","treasureNum","trapNum","enemyNum",
"621","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"621","1","6","400|410","3:2|7:3|","52|176","2|3",
"621","2","5","700|710","3:2|7:3|","52|176|170","2|4",
"621","3","5","1100|1200","3:2|7:3|","176|170|87","3|4",
"621","4","2","1500|1600","3:2|7:3|2:3|","170|170|87|87","3|4",
"621","5","2","1900|2000","3:2|7:3|2:3|","170|88|87","4|4",
"621","6","2","2400|2500","3:2|7:3|2:3|","88|88|87|87","2|2",
"621","!","3","2800|2900","3:2|7:3|2:3|","207|207|207|190","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"622","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"622","1","6","400|410","3:2|7:3|","52|176","2|3",
"622","2","5","700|710","3:2|7:3|","52|176|170","2|4",
"622","3","5","1100|1200","3:2|7:3|","176|170|87","3|4",
"622","4","2","1500|1600","3:2|7:3|2:3|","170|170|87|87","3|4",
"622","5","2","1900|2000","3:2|7:3|2:3|","170|88|87","4|4",
"622","6","2","2400|2500","3:2|7:3|2:3|","88|88|87|87","2|2",
"622","!","3","2800|2900","3:2|7:3|2:3|","207|207|207|190","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"623","4","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"623","1","6","400|410","3:2|7:3|","52|176","2|3",
"623","2","5","700|710","3:2|7:3|","52|176|170","2|4",
"623","3","5","1100|1200","3:2|7:3|","176|170|87","3|4",
"623","4","2","1500|1600","3:2|7:3|2:3|","170|170|87|87","3|4",
"623","5","2","1900|2000","3:2|7:3|2:3|","170|88|87","4|4",
"623","6","2","2400|2500","3:2|7:3|2:3|","88|88|87|87","2|2",
"623","!","3","2800|2900","3:2|7:3|2:3|","207|207|207|190","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"624","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"624","1","6","400|410","3:2|7:3|","52|176","2|3",
"624","2","5","700|710","3:2|7:3|","52|176|170","2|4",
"624","3","5","1100|1200","3:2|7:3|","176|170|87","3|4",
"624","4","2","1500|1600","3:2|7:3|2:3|","170|170|87|87","3|4",
"624","5","2","1900|2000","3:2|7:3|2:3|","170|88|87","4|4",
"624","6","2","2400|2500","3:2|7:3|2:3|","88|88|87|87","2|2",
"624","!","3","2800|2900","3:2|7:3|2:3|","207|207|207|190","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"625","3","11","4","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"625","1","6","400|410","3:2|7:3|","52|176","2|3",
"625","2","5","700|710","3:2|7:3|","52|176|170","2|4",
"625","3","5","1100|1200","3:2|7:3|","176|170|87","3|4",
"625","4","2","1500|1600","3:2|7:3|2:3|","170|170|87|87","3|4",
"625","5","2","1900|2000","3:2|7:3|2:3|","170|88|87","4|4",
"625","6","2","2400|2500","3:2|7:3|2:3|","88|88|87|87","2|2",
"625","!","3","2800|2900","3:2|7:3|2:3|","207|207|207|190","3|3",

