"stageId","风","火","水","光","闇","无","心",
"61","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"62","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"63","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"64","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"65","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"66","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"67","14","14","14","14","14","14","16",

