"questId","keyNum","treasureNum","trapNum","enemyNum",
"10031","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10031","1","8","30|30","","53","1|2",
"10031","2","5","50|50","","53","1|3",
"10031","3","5","250|250","","53|65","2|3",
"10031","4","2","300|300","","53|65","2|4",
"10031","5","2","400|400","","53|65|77","2|4",
"10031","6","2","600|600","","53|65|77","3|4",
"10031","!","1","700|700","","77","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10032","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10032","1","8","100|100","","54","1|2",
"10032","2","5","185|185","","54","1|3",
"10032","3","5","280|280","","54|66","2|3",
"10032","4","2","450|450","","54|66","2|4",
"10032","5","2","600|600","","54|66|78","2|4",
"10032","6","2","700|700","","54|66|78","3|4",
"10032","!","1","900|900","","78","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10033","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10033","1","8","200|200","","54","1|2",
"10033","2","5","350|350","","54|66","1|3",
"10033","3","5","500|500","","54|66|89","2|3",
"10033","4","2","600|600","","66|89","2|4",
"10033","5","2","700|700","","66|89|101","2|4",
"10033","6","2","800|800","","89|101","1|3",
"10033","!","1","1500|1500","","89|101","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10034","2","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10034","1","8","250|250","","66|89","1|2",
"10034","2","5","500|500","","66|89","1|3",
"10034","3","5","600|600","","89|101|113","2|3",
"10034","4","2","800|800","","89|101|113","2|4",
"10034","5","2","900|900","","101|113","2|4",
"10034","6","2","1200|1200","","101|113|125","1|3",
"10034","!","1","1700|1700","","113|101|125","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10035","3","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10035","1","8","500|500","","66|78","1|2",
"10035","2","5","1300|1300","","66|78","1|3",
"10035","3","5","2500|2500","","78|210","2|3",
"10035","4","2","4000|4000","","78|210","2|4",
"10035","5","2","6000|6000","","90|210","2|4",
"10035","6","2","10000|10000","","90|210","1|3",
"10035","!","1","15000|15000","","102","2|2",

