"questId","keyNum","treasureNum","trapNum","enemyNum",
"10061","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10061","1","8","30|30","","59","1|2",
"10061","2","5","50|50","","59","1|3",
"10061","3","5","250|250","","59|71","2|3",
"10061","4","2","300|300","","59|71","2|4",
"10061","5","2","400|400","","59|71|83","2|4",
"10061","6","2","600|600","","59|71|83","3|4",
"10061","!","1","700|700","","83","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10062","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10062","1","8","100|100","","60","1|2",
"10062","2","5","185|185","","60","1|3",
"10062","3","5","280|280","","60|72","2|3",
"10062","4","2","450|450","","60|72","2|4",
"10062","5","2","600|600","","60|72|84","2|4",
"10062","6","2","700|700","","60|72|84","3|4",
"10062","!","1","900|900","","84","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10063","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10063","1","8","200|200","","60","1|2",
"10063","2","5","350|350","","60|72","1|3",
"10063","3","5","500|500","","60|72|95","2|3",
"10063","4","2","600|600","","72|95","2|4",
"10063","5","2","700|700","","72|95|107","2|4",
"10063","6","2","800|800","","95|107","1|3",
"10063","!","1","1500|1500","","95|107","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10064","2","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10064","1","8","250|250","","72|95","1|2",
"10064","2","5","500|500","","72|95","1|3",
"10064","3","5","600|600","","95|107|119","2|3",
"10064","4","2","800|800","","95|107|119","2|4",
"10064","5","2","900|900","","107|119","2|4",
"10064","6","2","1200|1200","","107|119|131","1|3",
"10064","!","1","1700|1700","","119|107|131","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10065","3","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10065","1","8","500|500","","72|84","1|2",
"10065","2","5","1300|1300","","72|84","1|3",
"10065","3","5","2500|2500","","84|216","2|3",
"10065","4","2","4000|4000","","84|216","2|4",
"10065","5","2","6000|6000","","96|216","2|4",
"10065","6","2","10000|10000","","96|216","1|3",
"10065","!","1","15000|15000","","108","2|2",

