"questId","keyNum","treasureNum","trapNum","enemyNum",
"10011","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10011","1","8","30|30","","49","1|2",
"10011","2","5","50|50","","49","1|3",
"10011","3","5","250|250","","49|61","2|3",
"10011","4","2","300|300","","49|61","2|4",
"10011","5","2","400|400","","49|61|73","2|4",
"10011","6","2","600|600","","49|61|73","3|4",
"10011","!","1","700|700","","73","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10012","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10012","1","8","100|100","","50","1|2",
"10012","2","5","185|185","","50","1|3",
"10012","3","5","280|280","","50|62","2|3",
"10012","4","2","450|450","","50|62","2|4",
"10012","5","2","600|600","","50|62|74","2|4",
"10012","6","2","700|700","","50|62|74","3|4",
"10012","!","1","900|900","","74","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10013","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10013","1","8","200|200","","50","1|2",
"10013","2","5","350|350","","50|62","1|3",
"10013","3","5","500|500","","50|62|85","2|3",
"10013","4","2","600|600","","62|85","2|4",
"10013","5","2","700|700","","62|85|97","2|4",
"10013","6","2","800|800","","85|97","1|3",
"10013","!","1","1500|1500","","85|97","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10014","2","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10014","1","8","250|250","","62|85","1|2",
"10014","2","5","500|500","","62|85","1|3",
"10014","3","5","600|600","","85|97|109","2|3",
"10014","4","2","800|800","","85|97|109","2|4",
"10014","5","2","900|900","","97|109","2|4",
"10014","6","2","1200|1200","","97|109|121","1|3",
"10014","!","1","1700|1700","","109|97|121","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10015","3","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10015","1","8","500|500","","62|74","1|2",
"10015","2","5","1300|1300","","62|74","1|3",
"10015","3","5","2500|2500","","74|206","2|3",
"10015","4","2","4000|4000","","74|206","2|4",
"10015","5","2","6000|6000","","86|206","2|4",
"10015","6","2","10000|10000","","86|206","1|3",
"10015","!","1","15000|15000","","98","2|2",

