"questId","keyNum","treasureNum","trapNum","enemyNum",
"10021","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10021","1","8","30|30","","51","1|2",
"10021","2","5","50|50","","51","1|3",
"10021","3","5","250|250","","51|63","2|3",
"10021","4","2","300|300","","51|63","2|4",
"10021","5","2","400|400","","51|63|75","2|4",
"10021","6","2","600|600","","51|63|75","3|4",
"10021","!","1","700|700","","75","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10022","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10022","1","8","100|100","","52","1|2",
"10022","2","5","185|185","","52","1|3",
"10022","3","5","280|280","","52|64","2|3",
"10022","4","2","450|450","","52|64","2|4",
"10022","5","2","600|600","","52|64|76","2|4",
"10022","6","2","700|700","","52|64|76","3|4",
"10022","!","1","900|900","","76","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10023","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10023","1","8","200|200","","52","1|2",
"10023","2","5","350|350","","52|64","1|3",
"10023","3","5","500|500","","52|64|87","2|3",
"10023","4","2","600|600","","64|87","2|4",
"10023","5","2","700|700","","64|87|99","2|4",
"10023","6","2","800|800","","87|99","1|3",
"10023","!","1","1500|1500","","87|99","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10024","2","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10024","1","8","250|250","","64|87","1|2",
"10024","2","5","500|500","","64|87","1|3",
"10024","3","5","600|600","","87|99|111","2|3",
"10024","4","2","800|800","","87|99|111","2|4",
"10024","5","2","900|900","","99|111","2|4",
"10024","6","2","1200|1200","","99|111|123","1|3",
"10024","!","1","1700|1700","","111|99|123","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10025","3","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10025","1","8","500|500","","64|76","1|2",
"10025","2","5","1300|1300","","64|76","1|3",
"10025","3","5","2500|2500","","76|208","2|3",
"10025","4","2","4000|4000","","76|208","2|4",
"10025","5","2","6000|6000","","88|208","2|4",
"10025","6","2","10000|10000","","88|208","1|3",
"10025","!","1","15000|15000","","100","2|2",

