"questId","keyNum","treasureNum","trapNum","enemyNum",
"10051","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10051","1","8","30|30","","57","1|2",
"10051","2","5","50|50","","57","1|3",
"10051","3","5","250|250","","57|69","2|3",
"10051","4","2","300|300","","57|69","2|4",
"10051","5","2","400|400","","57|69|81","2|4",
"10051","6","2","600|600","","57|69|81","3|4",
"10051","!","1","700|700","","81","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10052","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10052","1","8","100|100","","58","1|2",
"10052","2","5","185|185","","58","1|3",
"10052","3","5","280|280","","58|70","2|3",
"10052","4","2","450|450","","58|70","2|4",
"10052","5","2","600|600","","58|70|82","2|4",
"10052","6","2","700|700","","58|70|82","3|4",
"10052","!","1","900|900","","82","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10053","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10053","1","8","200|200","","58","1|2",
"10053","2","5","350|350","","58|70","1|3",
"10053","3","5","500|500","","58|70|93","2|3",
"10053","4","2","600|600","","70|93","2|4",
"10053","5","2","700|700","","70|93|105","2|4",
"10053","6","2","800|800","","93|105","1|3",
"10053","!","1","1500|1500","","93|105","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10054","2","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10054","1","8","250|250","","70|93","1|2",
"10054","2","5","500|500","","70|93","1|3",
"10054","3","5","600|600","","93|105|117","2|3",
"10054","4","2","800|800","","93|105|117","2|4",
"10054","5","2","900|900","","105|117","2|4",
"10054","6","2","1200|1200","","105|117|129","1|3",
"10054","!","1","1700|1700","","117|105|129","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10055","3","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10055","1","8","500|500","","70|82","1|2",
"10055","2","5","1300|1300","","70|82","1|3",
"10055","3","5","2500|2500","","82|214","2|3",
"10055","4","2","4000|4000","","82|214","2|4",
"10055","5","2","6000|6000","","94|214","2|4",
"10055","6","2","10000|10000","","94|214","1|3",
"10055","!","1","15000|15000","","106","2|2",

