"questId","keyNum","treasureNum","trapNum","enemyNum",
"10041","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10041","1","8","30|30","","55","1|2",
"10041","2","5","50|50","","55","1|3",
"10041","3","5","250|250","","55|67","2|3",
"10041","4","2","300|300","","55|67","2|4",
"10041","5","2","400|400","","55|67|79","2|4",
"10041","6","2","600|600","","55|67|79","3|4",
"10041","!","1","700|700","","79","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10042","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10042","1","8","100|100","","56","1|2",
"10042","2","5","185|185","","56","1|3",
"10042","3","5","280|280","","56|68","2|3",
"10042","4","2","450|450","","56|68","2|4",
"10042","5","2","600|600","","56|68|80","2|4",
"10042","6","2","700|700","","56|68|80","3|4",
"10042","!","1","900|900","","80","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10043","1","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10043","1","8","200|200","","56","1|2",
"10043","2","5","350|350","","56|68","1|3",
"10043","3","5","500|500","","56|68|91","2|3",
"10043","4","2","600|600","","68|91","2|4",
"10043","5","2","700|700","","68|91|103","2|4",
"10043","6","2","800|800","","91|103","1|3",
"10043","!","1","1500|1500","","91|103","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10044","2","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10044","1","8","250|250","","68|91","1|2",
"10044","2","5","500|500","","68|91","1|3",
"10044","3","5","600|600","","91|103|115","2|3",
"10044","4","2","800|800","","91|103|115","2|4",
"10044","5","2","900|900","","103|115","2|4",
"10044","6","2","1200|1200","","103|115|127","1|3",
"10044","!","1","1700|1700","","115|103|127","2|2",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"10045","3","10","0","10",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"10045","1","8","500|500","","68|80","1|2",
"10045","2","5","1300|1300","","68|80","1|3",
"10045","3","5","2500|2500","","80|212","2|3",
"10045","4","2","4000|4000","","80|212","2|4",
"10045","5","2","6000|6000","","92|212","2|4",
"10045","6","2","10000|10000","","92|212","1|3",
"10045","!","1","15000|15000","","104","2|2",

