"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"10011","1","49","15","1","41","1","49","1","None",
"10011","2","61","26","2","47","1","61","1","None",
"10011","3","73","24","2","65","1","73","1","None",
"10012","1","50","29","2","78","1","49","1","None",
"10012","2","62","37","3","80","2","61","1","None",
"10012","3","74","38","3","90","2","73","1","None",
"10013","1","50","88","1","153","7","49","1","None",
"10013","2","62","100","2","217","4","61","1","None",
"10013","3","85","80","1","221","4","85","1","None",
"10013","4","97","90","2","273","1","97","1","None",
"10014","1","109","366","3","2408","90","109","1","None",
"10014","2","62","474","2","3960","90","61","1","None",
"10014","3","85","393","1","2512","0","85","1","None",
"10014","4","97","600","2","2084","70","97","1","None",
"10014","5","121","504","2","3280","350","121","1","None",
"10015","1","98","864","2","8442","110","97","1","None",
"10015","2","62","1304","3","8358","110","61","1","None",
"10015","3","74","1272","3","11900","0","73","1","None",
"10015","4","86","1040","2","14490","140","85","1","None",
"10015","5","206","740","3","6657","700","205","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"10021","1","51","12","2","38","1","51","1","None",
"10021","2","63","17","1","38","1","63","1","None",
"10021","3","75","15","1","56","1","75","1","None",
"10022","1","52","21","2","70","1","51","1","None",
"10022","2","64","32","1","75","2","63","1","None",
"10022","3","76","35","2","87","2","75","1","None",
"10023","1","52","80","3","145","7","51","1","None",
"10023","2","64","91","2","208","4","63","1","None",
"10023","3","87","75","2","216","4","87","1","None",
"10023","4","99","85","2","268","1","99","1","None",
"10024","1","111","360","2","2400","90","111","1","None",
"10024","2","64","465","3","3948","90","63","1","None",
"10024","3","87","384","3","2500","0","87","1","None",
"10024","4","99","439","3","2064","70","99","1","None",
"10024","5","123","480","1","3248","350","123","1","None",
"10025","1","100","840","3","8400","110","99","1","None",
"10025","2","64","1304","3","8358","110","63","1","None",
"10025","3","76","1260","2","11879","0","75","1","None",
"10025","4","88","820","4","14462","140","87","1","None",
"10025","5","208","704","1","6594","700","207","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"10031","1","53","13","2","39","1","53","1","None",
"10031","2","65","24","1","45","1","65","1","None",
"10031","3","77","23","2","64","1","77","1","None",
"10032","1","54","26","3","75","1","53","1","None",
"10032","2","66","35","2","78","2","65","1","None",
"10032","3","78","38","3","90","2","77","1","None",
"10033","1","54","87","2","152","7","53","1","None",
"10033","2","66","91","1","208","4","65","1","None",
"10033","3","89","75","2","216","4","89","1","None",
"10033","4","101","88","2","271","1","101","1","None",
"10034","1","113","360","2","2400","90","113","1","None",
"10034","2","66","474","3","3960","90","65","1","None",
"10034","3","89","408","3","2532","0","89","1","None",
"10034","4","101","588","2","2068","70","101","1","None",
"10034","5","125","492","1","3264","350","125","1","None",
"10035","1","102","868","2","8449","110","101","1","None",
"10035","2","66","1328","1","8400","110","65","1","None",
"10035","3","78","1272","2","11900","0","77","1","None",
"10035","4","90","1036","3","14483","140","89","1","None",
"10035","5","210","708","3","6601","700","209","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"10041","1","55","15","1","41","1","55","1","None",
"10041","2","67","19","3","40","1","67","1","None",
"10041","3","79","20","3","61","1","79","1","None",
"10042","1","56","27","1","76","1","55","1","None",
"10042","2","68","41","1","84","2","67","1","None",
"10042","3","80","41","2","93","2","79","1","None",
"10043","1","56","88","1","153","7","55","1","None",
"10043","2","68","98","2","215","4","67","1","None",
"10043","3","91","77","3","218","4","91","1","None",
"10043","4","103","93","2","276","1","103","1","None",
"10044","1","115","363","2","2404","90","115","1","None",
"10044","2","68","492","2","3984","90","67","1","None",
"10044","3","91","405","3","2528","0","91","1","None",
"10044","4","103","612","3","2100","70","103","1","None",
"10044","5","127","504","2","3280","350","127","1","None",
"10045","1","104","852","1","8421","110","103","1","None",
"10045","2","68","1336","2","8414","110","67","1","None",
"10045","3","80","1280","2","11914","0","79","1","None",
"10045","4","92","1044","1","14497","140","91","1","None",
"10045","5","212","732","2","6643","700","211","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"10051","1","57","13","3","39","1","57","1","None",
"10051","2","69","22","2","43","1","69","1","None",
"10051","3","81","18","3","59","1","81","1","None",
"10052","1","58","22","2","71","1","57","1","None",
"10052","2","70","34","1","77","2","69","1","None",
"10052","3","82","44","1","96","2","81","1","None",
"10053","1","58","88","2","153","7","57","1","None",
"10053","2","70","98","1","215","4","69","1","None",
"10053","3","93","75","3","216","4","93","1","None",
"10053","4","105","86","3","269","1","105","1","None",
"10054","1","117","381","1","2428","90","117","1","None",
"10054","2","70","483","2","3972","90","69","1","None",
"10054","3","93","405","2","2528","0","93","1","None",
"10054","4","105","591","3","2072","70","105","1","None",
"10054","5","129","483","3","3252","350","129","1","None",
"10055","1","106","856","3","8428","110","105","1","None",
"10055","2","70","1308","3","8365","110","69","1","None",
"10055","3","82","1284","3","11921","0","81","1","None",
"10055","4","94","1052","3","14511","140","93","1","None",
"10055","5","214","712","2","6608","700","213","1","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"10061","1","59","18","1","44","1","59","1","None",
"10061","2","71","18","2","39","1","71","1","None",
"10061","3","83","18","2","59","1","83","1","None",
"10062","1","60","29","2","78","1","59","1","None",
"10062","2","72","32","3","75","2","71","1","None",
"10062","3","84","42","3","94","2","83","1","None",
"10063","1","60","80","1","145","7","59","1","None",
"10063","2","72","99","2","216","4","71","1","None",
"10063","3","95","79","1","220","4","95","1","None",
"10063","4","107","87","2","270","1","107","1","None",
"10064","1","119","381","3","2428","90","119","1","None",
"10064","2","72","465","2","3948","90","71","1","None",
"10064","3","95","387","1","2504","0","95","1","None",
"10064","4","107","594","2","2076","70","107","1","None",
"10064","5","131","480","2","3248","350","131","1","None",
"10065","1","108","876","2","8463","110","107","1","None",
"10065","2","72","1332","3","8407","110","71","1","None",
"10065","3","84","1260","3","11879","0","83","1","None",
"10065","4","96","1028","3","14469","140","95","1","None",
"10065","5","216","736","2","6650","700","215","1","None",

