"questId","keyNum","treasureNum","trapNum","enemyNum",
"721","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"721","1","5","600|610","4:1|7:1|8:1|1:1|","52|64","2|2",
"721","2","5","900|910","4:1|7:1|8:1|1:1|","52|64|76","2|3",
"721","3","5","1300|1400","4:2|7:2|8:2|1:1|2:3|","52|64|76","3|4",
"721","4","3","1900|2000","4:2|7:2|8:2|1:1|2:3|","64|76|112|164","2|2",
"721","5","2","2100|2200","4:3|7:3|8:3|1:1|2:3|","64|76|112|110|158","2|3",
"721","6","2","2700|2800","4:3|7:3|8:3|1:1|2:3|","112|112|110|158|164","3|3",
"721","!","3","3400|3500","4:4|7:3|8:3|1:1|","191|112|112|110|110|164|158","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"722","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"722","1","5","600|610","4:1|7:1|8:1|1:1|","52|64","2|2",
"722","2","5","900|910","4:1|7:1|8:1|1:1|","52|64|76","2|3",
"722","3","5","1300|1400","4:2|7:2|8:2|1:1|2:3|","52|64|76","3|4",
"722","4","3","1900|2000","4:2|7:2|8:2|1:1|2:3|","64|76|112|164","2|2",
"722","5","2","2100|2200","4:3|7:3|8:3|1:1|2:3|","64|76|112|110|158","2|3",
"722","6","2","2700|2800","4:3|7:3|8:3|1:1|2:3|","112|112|110|158|164","3|3",
"722","!","3","3400|3500","4:4|7:3|8:3|1:1|","191|112|112|110|110|164|158","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"723","4","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"723","1","5","600|610","4:1|7:1|8:1|1:1|","52|64","2|2",
"723","2","5","900|910","4:1|7:1|8:1|1:1|","52|64|76","2|3",
"723","3","5","1300|1400","4:2|7:2|8:2|1:1|2:3|","52|64|76","3|4",
"723","4","3","1900|2000","4:2|7:2|8:2|1:1|2:3|","64|76|112|164","2|2",
"723","5","2","2100|2200","4:3|7:3|8:3|1:1|2:3|","64|76|112|110|158","2|3",
"723","6","2","2700|2800","4:3|7:3|8:3|1:1|2:3|","112|112|110|158|164","3|3",
"723","!","3","3400|3500","4:4|7:3|8:3|1:1|","191|112|112|110|110|164|158","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"724","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"724","1","5","600|610","4:1|7:1|8:1|1:1|","52|64","2|2",
"724","2","5","900|910","4:1|7:1|8:1|1:1|","52|64|76","2|3",
"724","3","5","1300|1400","4:2|7:2|8:2|1:1|2:3|","52|64|76","3|4",
"724","4","3","1900|2000","4:2|7:2|8:2|1:1|2:3|","64|76|112|164","2|2",
"724","5","2","2100|2200","4:3|7:3|8:3|1:1|2:3|","64|76|112|110|158","2|3",
"724","6","2","2700|2800","4:3|7:3|8:3|1:1|2:3|","112|112|110|158|164","3|3",
"724","!","3","3400|3500","4:4|7:3|8:3|1:1|","191|112|112|110|110|164|158","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"725","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"725","1","5","600|610","4:1|7:1|8:1|1:1|","52|64","2|2",
"725","2","5","900|910","4:1|7:1|8:1|1:1|","52|64|76","2|3",
"725","3","5","1300|1400","4:2|7:2|8:2|1:1|2:3|","52|64|76","3|4",
"725","4","3","1900|2000","4:2|7:2|8:2|1:1|2:3|","64|76|112|164","2|2",
"725","5","2","2100|2200","4:3|7:3|8:3|1:1|2:3|","64|76|112|110|158","2|3",
"725","6","2","2700|2800","4:3|7:3|8:3|1:1|2:3|","112|112|110|158|164","3|3",
"725","!","3","3400|3500","4:4|7:3|8:3|1:1|","191|112|112|110|110|164|158","3|3",

