"questId","keyNum","treasureNum","trapNum","enemyNum",
"761","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"761","1","5","1000|1100","4:1|7:1|8:1|","60|72","2|2",
"761","2","5","1300|1400","4:1|7:1|8:1|","60|72|84","2|3",
"761","3","5","1700|1800","4:2|7:2|8:2|","60|72|84","3|4",
"761","4","3","2300|2400","4:2|7:2|8:2|","72|84|442|168","2|2",
"761","5","2","2500|2600","4:3|7:3|8:3|2:3|","72|84|442|216|162","2|3",
"761","6","2","3100|3200","4:3|7:3|8:3|2:3|","442|442|216|162|168","3|3",
"761","!","3","3800|3900","4:4|7:3|8:3|","203|442|442|216|216|168|162","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"762","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"762","1","5","1000|1100","4:1|7:1|8:1|","60|72","2|2",
"762","2","5","1300|1400","4:1|7:1|8:1|","60|72|84","2|3",
"762","3","5","1700|1800","4:2|7:2|8:2|","60|72|84","3|4",
"762","4","3","2300|2400","4:2|7:2|8:2|","72|84|442|168","2|2",
"762","5","2","2500|2600","4:3|7:3|8:3|2:3|","72|84|442|216|162","2|3",
"762","6","2","3100|3200","4:3|7:3|8:3|2:3|","442|442|216|162|168","3|3",
"762","!","3","3800|3900","4:4|7:3|8:3|","203|442|442|216|216|168|162","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"763","4","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"763","1","5","1000|1100","4:1|7:1|8:1|","60|72","2|2",
"763","2","5","1300|1400","4:1|7:1|8:1|","60|72|84","2|3",
"763","3","5","1700|1800","4:2|7:2|8:2|","60|72|84","3|4",
"763","4","3","2300|2400","4:2|7:2|8:2|","72|84|442|168","2|2",
"763","5","2","2500|2600","4:3|7:3|8:3|2:3|","72|84|442|216|162","2|3",
"763","6","2","3100|3200","4:3|7:3|8:3|2:3|","442|442|216|162|168","3|3",
"763","!","3","3800|3900","4:4|7:3|8:3|","203|442|442|216|216|168|162","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"764","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"764","1","5","1000|1100","4:1|7:1|8:1|","60|72","2|2",
"764","2","5","1300|1400","4:1|7:1|8:1|","60|72|84","2|3",
"764","3","5","1700|1800","4:2|7:2|8:2|","60|72|84","3|4",
"764","4","3","2300|2400","4:2|7:2|8:2|","72|84|442|168","2|2",
"764","5","2","2500|2600","4:3|7:3|8:3|2:3|","72|84|442|216|162","2|3",
"764","6","2","3100|3200","4:3|7:3|8:3|2:3|","442|442|216|162|168","3|3",
"764","!","3","3800|3900","4:4|7:3|8:3|","203|442|442|216|216|168|162","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"765","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"765","1","5","1000|1100","4:1|7:1|8:1|","60|72","2|2",
"765","2","5","1300|1400","4:1|7:1|8:1|","60|72|84","2|3",
"765","3","5","1700|1800","4:2|7:2|8:2|","60|72|84","3|4",
"765","4","3","2300|2400","4:2|7:2|8:2|","72|84|442|168","2|2",
"765","5","2","2500|2600","4:3|7:3|8:3|2:3|","72|84|442|216|162","2|3",
"765","6","2","3100|3200","4:3|7:3|8:3|2:3|","442|442|216|162|168","3|3",
"765","!","3","3800|3900","4:4|7:3|8:3|","203|442|442|216|216|168|162","3|3",

