"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"711","1","62","1769","2","14480","308","61","1","None",
"711","2","74","3431","2","20784","513","73","5","None",
"711","3","28","8761","3","184493","1662","27","1","None",
"712","1","62","1769","2","14480","308","61","1","None",
"712","2","74","3431","2","20784","513","73","5","None",
"712","3","689","7503","2","97294","1150","74","?","None",
"712","4","689","7503","2","97294","1150","74","?","None",
"712","5","689","7503","2","97294","1150","74","?","None",
"713","1","297","2717","2","26695","626","62","?","None",
"713","2","689","4723","3","39539","510","74","?","None",
"713","3","444","5219","1","247980","2407","110","?","None",
"714","1","297","2717","2","26695","626","62","?","None",
"714","2","689","4723","3","39539","510","74","?","None",
"714","3","473","7868","2","371377","3135","0","0","None",
"715","1","297","2717","2","26695","626","62","?","None",
"715","2","689","4723","3","39539","510","74","?","None",
"715","3","474","16900","2","535074","3014","0","0","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"721","1","64","1789","2","15139","329","63","10","None",
"721","2","76","3396","2","21407","547","75","5","None",
"721","3","32","8884","3","190392","1758","31","?","None",
"722","1","64","1789","2","15139","329","63","10","None",
"722","2","76","3396","2","21407","547","75","5","None",
"722","3","690","7877","2","102834","1209","76","5","None",
"722","4","690","7877","2","102834","1209","76","5","None",
"722","5","690","7877","2","102834","1209","76","5","None",
"723","1","298","2861","2","27526","647","64","1","None",
"723","2","690","4827","3","41025","540","76","?","None",
"723","3","445","5395","1","261508","2610","112","?","None",
"724","1","298","2861","2","27526","647","64","1","None",
"724","2","690","4827","3","41025","540","76","?","None",
"724","3","475","8158","2","393142","3232","0","0","None",
"725","1","298","2861","2","27526","647","64","1","None",
"725","2","690","4827","3","41025","540","76","?","None",
"725","3","476","17555","2","575751","3166","0","0","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"731","1","66","1851","2","16335","347","65","10","None",
"731","2","78","3598","2","23076","563","77","5","None",
"731","3","36","9163","3","202978","1848","35","?","None",
"732","1","66","1851","2","16335","347","65","10","None",
"732","2","78","3598","2","23076","563","77","5","None",
"732","3","691","7986","2","110003","1243","78","?","None",
"732","4","691","7986","2","110003","1243","78","?","None",
"732","5","691","7986","2","110003","1243","78","?","None",
"733","1","299","2838","2","30187","679","66","1","None",
"733","2","691","4971","3","43858","585","78","?","None",
"733","3","446","5562","1","275359","2764","114","?","None",
"734","1","299","2838","2","30187","679","66","1","None",
"734","2","691","4971","3","43858","585","78","?","None",
"734","3","477","8140","2","429571","3435","0","0","None",
"735","1","299","2838","2","30187","679","66","1","None",
"735","2","691","4971","3","43858","585","78","?","None",
"735","3","478","17808","2","605635","3397","0","0","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"741","1","68","1844","2","18178","380","67","?","None",
"741","2","80","3704","2","25715","643","79","?","None",
"741","3","40","9239","3","232284","2078","39","?","None",
"742","1","68","1844","2","18178","380","67","?","None",
"742","2","80","3704","2","25715","643","79","?","None",
"742","3","692","7958","2","121663","1406","80","?","None",
"742","4","692","7958","2","121663","1406","80","?","None",
"742","5","692","7958","2","121663","1406","80","?","None",
"743","1","300","3045","2","33423","756","68","?","None",
"743","2","692","5060","3","48110","637","80","?","None",
"743","3","447","5762","1","313307","3122","116","?","None",
"744","1","300","3045","2","33423","756","68","?","None",
"744","2","692","5060","3","48110","637","80","?","None",
"744","3","479","8280","2","474027","3757","0","0","None",
"745","1","300","3045","2","33423","756","68","?","None",
"745","2","692","5060","3","48110","637","80","3","None",
"745","3","480","18170","2","668691","3777","0","0","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"751","1","70","1910","2","20597","438","69","?","None",
"751","2","82","3649","2","29206","728","81","?","None",
"751","3","44","9326","3","266338","2378","43","?","None",
"752","1","70","1910","2","20597","438","69","?","None",
"752","2","82","3649","2","29206","728","81","?","None",
"752","3","693","8248","2","138663","1653","82","?","None",
"752","4","693","8248","2","138663","1653","82","?","None",
"752","5","693","8248","2","138663","1653","82","?","None",
"753","1","301","3105","2","39284","885","70","?","None",
"753","2","693","5156","3","56508","730","82","?","None",
"753","3","448","5977","1","346629","3559","118","?","None",
"754","1","301","3105","2","39284","885","70","?","None",
"754","2","693","5156","3","56508","730","82","?","None",
"754","3","481","8508","2","536938","4433","0","0","None",
"755","1","301","3105","2","39284","885","70","?","None",
"755","2","693","5156","3","56508","730","82","?","None",
"755","3","482","19122","2","778629","4464","0","0","None",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"761","1","72","1968","2","23622","513","71","?","None",
"761","2","84","3758","2","34598","867","83","?","None",
"761","3","48","9894","3","303860","2685","47","?","None",
"762","1","72","1968","2","23622","513","71","?","None",
"762","2","84","3758","2","34598","867","83","?","None",
"762","3","694","8652","2","160940","1845","84","?","None",
"762","4","694","8652","2","160940","1845","84","?","None",
"762","5","694","8652","2","160940","1845","84","?","None",
"763","1","302","3147","2","45283","1032","72","?","None",
"763","2","694","5212","3","64646","871","84","?","None",
"763","3","449","5889","1","408392","4040","120","?","None",
"764","1","302","3147","2","45283","1032","72","?","None",
"764","2","694","5212","3","64646","871","84","?","None",
"764","3","483","8920","2","642968","5214","0","0","None",
"765","1","302","3147","2","45283","1032","72","?","None",
"765","2","694","5212","3","64646","871","84","?","None",
"765","3","484","19180","2","918402","5070","0","0","None",

