"questId","keyNum","treasureNum","trapNum","enemyNum",
"711","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"711","1","5","500|510","4:1|7:1|8:1|3:1|","50|62","2|2",
"711","2","5","800|810","4:1|7:1|8:1|3:1|","50|62|74","2|3",
"711","3","5","1200|1300","4:2|7:2|8:2|3:2|","50|62|74","3|4",
"711","4","3","1800|1900","4:2|7:2|8:2|3:2|","62|74|27|163","2|2",
"711","5","2","2000|2100","4:3|7:3|8:3|3:3|2:3|","62|74|27|35|157","2|3",
"711","6","2","2600|2700","4:3|7:3|8:3|3:2|2:3|","27|27|35|157|163","3|3",
"711","!","3","3300|3400","4:4|7:3|8:3|3:4|","188|27|27|35|35|163|157","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"712","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"712","1","5","500|510","4:1|7:1|8:1|3:1|","50|62","2|2",
"712","2","5","800|810","4:1|7:1|8:1|3:1|","50|62|74","2|3",
"712","3","5","1200|1300","4:2|7:2|8:2|3:2|","50|62|74","3|4",
"712","4","3","1800|1900","4:2|7:2|8:2|3:2|","62|74|27|163","2|2",
"712","5","2","2000|2100","4:3|7:3|8:3|3:3|2:3|","62|74|27|35|157","2|3",
"712","6","2","2600|2700","4:3|7:3|8:3|3:2|2:3|","27|27|35|157|163","3|3",
"712","!","3","3300|3400","4:4|7:3|8:3|3:4|","188|27|27|35|35|163|157","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"713","4","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"713","1","5","500|510","4:1|7:1|8:1|3:1|","50|62","2|2",
"713","2","5","800|810","4:1|7:1|8:1|3:1|","50|62|74","2|3",
"713","3","5","1200|1300","4:2|7:2|8:2|3:2|","50|62|74","3|4",
"713","4","3","1800|1900","4:2|7:2|8:2|3:2|","62|74|27|163","2|2",
"713","5","2","2000|2100","4:3|7:3|8:3|3:3|2:3|","62|74|27|35|157","2|3",
"713","6","2","2600|2700","4:3|7:3|8:3|3:2|2:3|","27|27|35|157|163","3|3",
"713","!","3","3300|3400","4:4|7:3|8:3|3:4|","188|27|27|35|35|163|157","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"714","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"714","1","5","500|510","4:1|7:1|8:1|3:1|","50|62","2|2",
"714","2","5","800|810","4:1|7:1|8:1|3:1|","50|62|74","2|3",
"714","3","5","1200|1300","4:2|7:2|8:2|3:2|","50|62|74","3|4",
"714","4","3","1800|1900","4:2|7:2|8:2|3:2|","62|74|27|163","2|2",
"714","5","2","2000|2100","4:3|7:3|8:3|3:3|2:3|","62|74|27|35|157","2|3",
"714","6","2","2600|2700","4:3|7:3|8:3|3:2|2:3|","27|27|35|157|163","3|3",
"714","!","3","3300|3400","4:4|7:3|8:3|3:4|","188|27|27|35|35|163|157","3|3",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"715","3","10","5","8",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"715","1","5","500|510","4:1|7:1|8:1|3:1|","50|62","2|2",
"715","2","5","800|810","4:1|7:1|8:1|3:1|","50|62|74","2|3",
"715","3","5","1200|1300","4:2|7:2|8:2|3:2|","50|62|74","3|4",
"715","4","3","1800|1900","4:2|7:2|8:2|3:2|","62|74|27|163","2|2",
"715","5","2","2000|2100","4:3|7:3|8:3|3:3|2:3|","62|74|27|35|157","2|3",
"715","6","2","2600|2700","4:3|7:3|8:3|3:2|2:3|","27|27|35|157|163","3|3",
"715","!","3","3300|3400","4:4|7:3|8:3|3:4|","188|27|27|35|35|163|157","3|3",

