"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"71","1","50","1668","3","12522","104","50","1","None",
"71","2","62","1769","2","14480","308","61","1","None",
"71","3","74","3431","2","20784","513","73","5","None",
"71","4","35","4002","2","22575","306","34","?","None",
"71","5","27","5078","2","41491","507","26","1","None",
"71","6","163","10000","5","60000","0","163","2","None",
"71","7","157","2000","1","60000","0","157","2","None",
"71","8","188","20","1","10","7500","188","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"72","1","52","1653","3","12897","107","52","1","None",
"72","2","64","1789","2","15139","329","63","10","None",
"72","3","76","3396","2","21407","547","75","5","None",
"72","4","110","2103","1","23262","325","109","?","None",
"72","5","112","2716","1","43037","534","111","1","None",
"72","6","164","10000","5","60000","0","164","2","None",
"72","7","158","2000","1","60000","0","158","2","None",
"72","8","191","20","1","10","7500","191","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"73","1","54","1714","3","13581","114","54","1","None",
"73","2","66","1851","2","16335","347","65","10","None",
"73","3","78","3598","2","23076","563","77","5","None",
"73","4","100","4338","2","24930","350","99","?","None",
"73","5","102","5414","2","45524","571","101","1","None",
"73","6","165","10000","5","60000","0","165","2","None",
"73","7","159","2000","1","60000","0","159","2","None",
"73","8","194","20","1","10","7500","194","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"74","1","56","1744","3","15683","125","56","1","None",
"74","2","68","1844","2","18178","380","67","10","None",
"74","3","80","3704","2","25715","643","79","5","None",
"74","4","130","4337","2","28701","378","129","?","None",
"74","5","128","5615","2","50371","637","127","1","None",
"74","6","166","10000","5","60000","0","166","2","None",
"74","7","160","2000","1","60000","0","160","2","None",
"74","8","197","20","1","10","7500","197","1","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"75","1","58","1837","3","17996","147","58","?","None",
"75","2","70","1910","2","20597","438","69","?","None",
"75","3","82","3649","2","29206","728","81","?","None",
"75","4","116","2336","1","32831","436","115","?","None",
"75","5","106","5690","2","60382","746","105","?","None",
"75","6","167","10000","5","60000","0","167","?","None",
"75","7","161","2000","1","60000","0","161","?","None",
"75","8","200","20","1","10","7500","200","?","None",

"stageId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"76","1","60","1843","3","20312","171","60","?","None",
"76","2","72","1968","2","23622","513","71","?","None",
"76","3","84","3758","2","34598","867","83","?","None",
"76","4","216","4571","2","26828","4141","215","?","None",
"76","5","442","8940","3","48068","5489","96","?","None",
"76","6","168","10000","5","60000","0","168","?","None",
"76","7","162","2000","1","60000","0","162","?","None",
"76","8","203","20","1","10","7500","203","?","None",

