"questId","stamina","coin","exp","floor",
"711","11","46,652","560","3",
"712","11","46,732","575","3",
"713","11","48,252","590","3",
"714","11","48,332","605","3",
"715","13","59,101","1000","3",

"questId","stamina","coin","exp","floor",
"721","11","49,932","570","3",
"722","11","50,012","585","3",
"723","11","51,532","600","3",
"724","11","51,612","615","3",
"725","13","62,381","1020","3",

"questId","stamina","coin","exp","floor",
"731","11","53,359","580","3",
"732","11","53,439","595","3",
"733","11","54,959","610","3",
"734","11","55,039","625","3",
"735","13","65,661","1040","3",

"questId","stamina","coin","exp","floor",
"741","11","56,639","590","3",
"742","11","56,719","605","3",
"743","11","58,239","620","3",
"744","11","58,319","635","3",
"745","13","69,088","1060","3",

"questId","stamina","coin","exp","floor",
"751","11","59,919","600","3",
"752","11","59,999","615","3",
"753","11","61,519","630","3",
"754","11","61,599","645","3",
"755","13","72,368","1080","3",

"questId","stamina","coin","exp","floor",
"761","11","63,346","610","3",
"762","11","63,426","625","3",
"763","11","64,946","640","3",
"764","11","65,026","655","3",
"765","13","74,828","1100","3",

