"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"411","1","145","2569","2","42054","55","145","1","不適用",
"412","1","62","895","1","65482","0","61","8","15",
"413","1","122","1150","3","12000","163","121","5","5",
"413","2","122","1150","3","12000","163","121","5","5",
"413","3","122","1150","3","12000","163","121","5","5",
"414","1","110","900","2","15000","0","109","5","3",
"414","2","110","900","2","15000","0","109","5","3",
"414","3","110","900","2","15000","0","109","5","3",
"415","1","134","4521","3","58000","325","133","1","不適用",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"421","1","147","1350","1","44766","57","147","1","不適用",
"422","1","64","895","1","12500","1000","63","8","15",
"423","1","124","1150","3","12000","163","123","5","5",
"423","2","124","1150","3","12000","163","123","5","5",
"423","3","124","1150","3","12000","163","123","5","5",
"424","1","112","895","2","14500","72","111","5","3",
"424","2","112","895","2","14500","72","111","5","3",
"424","3","112","895","2","14500","72","111","5","3",
"425","1","136","6778","4","93373","510","135","1","不適用",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"431","1","149","1644","3","48914","61","149","1","不適用",
"432","1","66","3250","1","10000","0","65","8","15",
"433","1","126","1150","3","13000","58","125","5","5",
"433","2","126","1150","3","13000","58","125","5","5",
"433","3","126","1150","3","13000","58","125","5","5",
"434","1","114","1271","2","36535","72","113","5","3",
"434","2","114","1271","2","36535","72","113","5","3",
"435","1","138","3447","3","37991","510","137","1","不適用",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"441","1","151","1749","3","49712","66","151","1","不適用",
"442","1","68","1429","2","51804","69","67","8","15",
"443","1","128","2866","3","56167","390","127","5","5",
"443","2","128","2866","3","56167","390","127","5","5",
"443","3","128","2866","3","56167","390","127","5","5",
"444","1","116","1942","2","59069","84","115","5","3",
"444","2","116","1942","2","59069","84","115","5","3",
"445","1","140","2540","2","243750","500","139","1","不適用",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"451","1","153","1882","3","50837","72","153","1","不適用",
"452","1","70","1102","2","39939","69","69","8","15",
"453","1","130","2398","3","125320","390","129","5","5",
"453","2","130","2398","3","125320","390","129","5","5",
"453","3","130","2398","3","125320","390","129","5","5",
"454","1","118","2967","2","90253","84","117","5","3",
"454","2","118","2967","2","90253","84","117","5","3",
"455","1","142","8571","6","235713","500","141","1","不適用",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"461","1","155","1946","3","55780","77","155","1","不適用",
"462","1","72","1179","2","42731","69","71","8","15",
"463","1","132","2566","3","134080","390","131","5","0.5",
"463","2","132","2566","3","134080","390","131","5","0.5",
"463","3","132","2566","3","134080","390","131","5","0.5",
"464","1","120","3175","2","96564","84","119","5","0.25",
"464","2","120","3175","2","96564","84","119","5","0.25",
"465","1","144","5000","2","252211","500","143","1","不適用",

"questId","enemyId","unitId","atk","next","hp","defence","dropId","dropLv","dropRate",
"471","1","128","2866","3","22685","390","127","5","5",
"471","2","130","2398","3","15687","390","129","5","5",
"471","3","132","2566","3","19856","390","131","5","0.5",
"472","1","144","5555","2","82049","195","143","1","不適用",
"473","1","122","1438","3","18594","163","121","5","5",
"473","2","124","1702","3","15648","163","123","5","5",
"473","3","126","1285","3","29064","163","125","5","5",
"474","1","116","1942","2","30000","84","115","5","3",
"474","2","118","2967","3","25000","50","117","5","3",
"474","3","120","800","1","20000","500","119","5","0.25",
"475","1","156","9260","5","287565","555","155","1","不適用",

