"questId","keyNum","treasureNum","trapNum","enemyNum",
"421","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"421","1","7","250|260","1:1|","64|76","2|2",
"421","2","5","500|510","1:1|","64|76","2|3",
"421","3","5","700|710","1:1|","64|76|207","2|3",
"421","4","2","950|960","1:1|","64|76|207","3|4",
"421","5","2","1200|1300","1:1|2:3|","207|100","1|2",
"421","6","2","1450|1550","1:1|2:3|","100|88","2|3",
"421","!","2","2900|3000","1:1|","88|88|88","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"422","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"422","1","7","250|260","1:1|","64|76","2|2",
"422","2","5","500|510","1:1|","64|76","2|3",
"422","3","5","700|710","1:1|","64|76|207","2|3",
"422","4","2","950|960","1:1|","64|76|207","3|4",
"422","5","2","1200|1300","1:1|2:3|","207|100","1|2",
"422","6","2","1450|1550","1:1|2:3|","100|88","2|3",
"422","!","2","2900|3000","1:1|","88|88|88","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"423","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"423","1","7","250|260","1:1|","64|76","2|2",
"423","2","5","500|510","1:1|","64|76","2|3",
"423","3","5","700|710","1:1|","64|76|207","2|3",
"423","4","2","950|960","1:1|","64|76|207","3|4",
"423","5","2","1200|1300","1:1|2:3|","207|100","1|2",
"423","6","2","1450|1550","1:1|2:3|","100|88","2|3",
"423","!","2","2900|3000","1:1|","88|88|88","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"424","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"424","1","7","200|210","1:1|","64|76","2|2",
"424","2","5","400|410","1:1|","64|76","2|3",
"424","3","5","550|560","1:1|","64|76|207","2|3",
"424","4","2","750|760","1:1|","64|76|207","3|4",
"424","5","2","950|960","1:1|2:3|","207|100","1|2",
"424","6","2","1150|1250","1:1|2:3|","100|88","2|3",
"424","!","2","2300|2400","1:1|","88|88|88","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"425","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"425","1","7","200|210","1:1|","64|76","2|2",
"425","2","5","400|410","1:1|","64|76","2|3",
"425","3","5","550|560","1:1|","64|76|207","2|3",
"425","4","2","750|760","1:1|","64|76|207","3|4",
"425","5","2","950|960","1:1|2:3|","207|100","1|2",
"425","6","2","1150|1250","1:1|2:3|","100|88","2|3",
"425","!","2","2300|2400","1:1|","88|88|88","0|0",

