"questId","keyNum","treasureNum","trapNum","enemyNum",
"431","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"431","1","7","200|210","7:3|","66|78","2|2",
"431","2","5","450|460","7:3|","66|78","2|3",
"431","3","5","700|710","7:3|","66|78|209","2|3",
"431","4","2","900|910","7:3|","66|78|209","3|4",
"431","5","2","1150|1250","7:3|","209|102","1|2",
"431","6","2","1350|1450","7:3|","102|90","2|3",
"431","!","2","2700|2800","7:3|","90|90|90","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"432","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"432","1","7","200|210","7:3|","66|78","2|2",
"432","2","5","450|460","7:3|","66|78","2|3",
"432","3","5","700|710","7:3|","66|78|209","2|3",
"432","4","2","900|910","7:3|","66|78|209","3|4",
"432","5","2","1150|1250","7:3|","209|102","1|2",
"432","6","2","1350|1450","7:3|","102|90","2|3",
"432","!","2","2700|2800","7:3|","90|90|90","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"433","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"433","1","7","200|210","7:3|","66|78","2|2",
"433","2","5","450|460","7:3|","66|78","2|3",
"433","3","5","700|710","7:3|","66|78|209","2|3",
"433","4","2","900|910","7:3|","66|78|209","3|4",
"433","5","2","1150|1250","7:3|","209|102","1|2",
"433","6","2","1350|1450","7:3|","102|90","2|3",
"433","!","2","2700|2800","7:3|","90|90|90","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"434","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"434","1","7","150|160","7:3|","66|78","2|2",
"434","2","5","350|360","7:3|","66|78","2|3",
"434","3","5","500|510","7:3|","66|78|209","2|3",
"434","4","2","650|660","7:3|","66|78|209","3|4",
"434","5","2","850|860","7:3|","209|102","1|2",
"434","6","2","1000|1100","7:3|","102|90","2|3",
"434","!","2","2000|2100","7:3|","90|90|90","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"435","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"435","1","7","150|160","7:3|","66|78","2|2",
"435","2","5","350|360","7:3|","66|78","2|3",
"435","3","5","500|510","7:3|","66|78|209","2|3",
"435","4","2","650|660","7:3|","66|78|209","3|4",
"435","5","2","850|860","7:3|","209|102","1|2",
"435","6","2","1000|1100","7:3|","102|90","2|3",
"435","!","2","2000|2100","7:3|","90|90|90","0|0",

