"stageId","风","火","水","光","闇","无","心",
"41","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"42","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"43","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"44","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"45","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"46","14","14","14","14","14","14","16",

"stageId","风","火","水","光","闇","无","心",
"47","14","14","14","14","14","14","16",

