"questId","keyNum","treasureNum","trapNum","enemyNum",
"471","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"471","1","7","200|210","3:2|8:3|7:3|","62|76","2|2",
"471","2","5","500|510","3:2|8:3|7:3|","66|80","2|3",
"471","3","5","700|710","3:2|8:3|7:3|","70|84|213","2|3",
"471","4","2","950|960","3:2|8:3|7:3|","70|84|215","3|4",
"471","5","2","1200|1300","3:2|8:3|7:3|2:3|","215|102","1|2",
"471","6","2","1450|1550","3:2|8:3|7:3|2:3|","104|86","2|3",
"471","!","2","2900|3000","3:2|8:3|7:3|","104|104|104","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"472","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"472","1","7","200|210","3:2|8:3|7:3|","62|76","2|2",
"472","2","5","500|510","3:2|8:3|7:3|","66|80","2|3",
"472","3","5","700|710","3:2|8:3|7:3|","70|84|213","2|3",
"472","4","2","950|960","3:2|8:3|7:3|","70|84|215","3|4",
"472","5","2","1200|1300","3:2|8:3|7:3|2:3|","215|102","1|2",
"472","6","2","1450|1550","3:2|8:3|7:3|2:3|","104|86","2|3",
"472","!","2","2900|3000","3:2|8:3|7:3|","104|104|104","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"473","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"473","1","7","200|210","3:2|8:3|7:3|","62|76","2|2",
"473","2","5","500|510","3:2|8:3|7:3|","66|80","2|3",
"473","3","5","700|710","3:2|8:3|7:3|","70|84|213","2|3",
"473","4","2","950|960","3:2|8:3|7:3|","70|84|215","3|4",
"473","5","2","1200|1300","3:2|8:3|7:3|2:3|","215|102","1|2",
"473","6","2","1450|1550","3:2|8:3|7:3|2:3|","104|86","2|3",
"473","!","2","2900|3000","3:2|8:3|7:3|","104|104|104","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"474","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"474","1","7","200|210","3:2|8:3|7:3|","62|76","2|2",
"474","2","5","350|360","3:2|8:3|7:3|","66|80","2|3",
"474","3","5","500|510","3:2|8:3|7:3|","70|84|213","2|3",
"474","4","2","700|710","3:2|8:3|7:3|","70|84|215","3|4",
"474","5","2","850|860","3:2|8:3|7:3|2:3|","215|102","1|2",
"474","6","2","1050|1150","3:2|8:3|7:3|2:3|","104|86","2|3",
"474","!","2","2100|2200","3:2|8:3|7:3|","104|104|104","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"475","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"475","1","7","200|210","3:2|8:3|7:3|","62|76","2|2",
"475","2","5","350|360","3:2|8:3|7:3|","66|80","2|3",
"475","3","5","500|510","3:2|8:3|7:3|","70|84|213","2|3",
"475","4","2","700|710","3:2|8:3|7:3|","70|84|215","3|4",
"475","5","2","850|860","3:2|8:3|7:3|2:3|","215|102","1|2",
"475","6","2","1050|1150","3:2|8:3|7:3|2:3|","104|86","2|3",
"475","!","2","2100|2200","3:2|8:3|7:3|","104|104|104","0|0",

