"questId","keyNum","treasureNum","trapNum","enemyNum",
"411","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"411","1","7","150|160","3:2|4:2|","62|74","2|2",
"411","2","5","400|410","3:2|4:2|","62|74","2|3",
"411","3","5","600|610","3:2|4:2|","62|74|205","2|2",
"411","4","2","800|810","3:2|4:2|","62|74|205","2|3",
"411","5","2","1000|1100","3:2|4:2|","205|98","2|2",
"411","6","2","1200|1300","3:2|4:2|","98|86","2|3",
"411","!","2","2500|2600","3:2|4:2|","86|86|86","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"412","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"412","1","7","150|160","3:2|4:2|","62|74","2|2",
"412","2","5","400|410","3:2|4:2|","62|74","2|3",
"412","3","5","600|610","3:2|4:2|","62|74|205","2|2",
"412","4","2","800|810","3:2|4:2|","62|74|205","2|3",
"412","5","2","1000|1100","3:2|4:2|","205|98","2|2",
"412","6","2","1200|1300","3:2|4:2|","98|86","2|3",
"412","!","2","2500|2600","3:2|4:2|","86|86|86","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"413","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"413","1","7","150|160","3:2|4:2|","62|74","2|2",
"413","2","5","400|410","3:2|4:2|","62|74","2|3",
"413","3","5","600|610","3:2|4:2|","62|74|205","2|2",
"413","4","2","800|810","3:2|4:2|","62|74|205","2|3",
"413","5","2","1000|1100","3:2|4:2|","205|98","2|2",
"413","6","2","1200|1300","3:2|4:2|","98|86","2|3",
"413","!","2","2500|2600","3:2|4:2|","86|86|86","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"414","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"414","1","7","100|110","3:2|4:2|","62|74","2|2",
"414","2","5","300|310","3:2|4:2|","62|74","2|3",
"414","3","5","450|460","3:2|4:2|","62|74|205","2|2",
"414","4","2","600|610","3:2|4:2|","62|74|205","2|3",
"414","5","2","750|760","3:2|4:2|","205|98","2|2",
"414","6","2","850|860","3:2|4:2|","98|86","2|3",
"414","!","2","1700|1800","3:2|4:2|","86|86|86","0|0",

"questId","keyNum","treasureNum","trapNum","enemyNum",
"415","3","13","3","7",

"questId","star","starNum","treasure","trap","enemyPool","enemyNum"
"415","1","7","100|110","3:2|4:2|","62|74","2|2",
"415","2","5","300|310","3:2|4:2|","62|74","2|3",
"415","3","5","450|460","3:2|4:2|","62|74|205","2|2",
"415","4","2","600|610","3:2|4:2|","62|74|205","2|3",
"415","5","2","750|760","3:2|4:2|","205|98","2|2",
"415","6","2","850|860","3:2|4:2|","98|86","2|3",
"415","!","2","1700|1800","3:2|4:2|","86|86|86","0|0",

