"questId","stamina","coin","exp","floor",
"411","9","26,912","343","3",
"412","9","19,291","229","3",
"413","9","30,496","372","3",
"414","9","29,164","329","3",
"415","11","41,236","500","3",

"questId","stamina","coin","exp","floor",
"421","9","32,673","372","3",
"422","9","25,897","272","3",
"423","9","33,388","415","3",
"424","9","32,138","358","3",
"425","11","40,429","500","3",

"questId","stamina","coin","exp","floor",
"431","9","30,496","372","3",
"432","9","22,578","258","3",
"433","9","33,293","400","3",
"434","9","28,319","343","3",
"435","11","37,786","500","3",

"questId","stamina","coin","exp","floor",
"441","9","29,338","343","3",
"442","9","21,461","229","3",
"443","9","33,386","372","3",
"444","9","31,823","329","3",
"445","11","44,849","500","3",

"questId","stamina","coin","exp","floor",
"451","9","29,338","372","3",
"452","9","21,461","272","3",
"453","9","33,386","415","3",
"454","9","31,970","358","3",
"455","11","44,849","500","3",

"questId","stamina","coin","exp","floor",
"461","9","32,286","372","3",
"462","9","23,712","258","3",
"463","9","36,276","400","3",
"464","9","35,007","343","3",
"465","11","48,684","500","3",

"questId","stamina","coin","exp","floor",
"471","10","32,136","472","3",
"472","10","23,712","429","3",
"473","10","36,875","472","3",
"474","10","35,007","472","3",
"475","12","48,684","772","3",

